Rank,Club,Country,YOB,Gender
69,Columbia  ,IRL ,1980,M
70,MAC Sport Team Running  ,FRA ,1993,M
71,Columbia Montrail  ,CZE ,1989,M
72,"Team Hoka &Amp, Garmin  ",EST ,1972,M
73,Adidasterrex  ,GBR ,1994,F
74,Salomon Russia RT Club  ,RUS ,1985,M
75,Borges Trail  ,ESP ,1986,M
76,Uswe / Vhtrc  ,USA ,1983,M
77,Vetraz Monthoux  ,FRA ,1979,M
78,Marcin Świerc Team  ,POL ,1988,M
79,FZJ Team  ,POL ,1982,M
80,SNC 86 Ultramical  ,FRA ,1975,M
81,Thionville  ,FRA ,1985,M
82,AGO Team  ,ESP ,1974,M
83,Courir A Beaucaire  ,FRA ,1985,M
84,Inov-8  ,LAT ,1992,F
85,Xendenguets  ,ESP ,1982,M
86,Sant Julià De Lòria  ,AND ,1967,M
87,Team Vibram  ,ESP ,1974,F
88,Dynafit  ,FRA ,1997,M
89,"Montagne &Amp, Ascensions  ",FRA ,1973,M
90,Kongsberg  ,NOR ,1994,M
91,Mautern In Steiermark  ,AUT ,1975,M
92,Sarbil M.L.T  ,ESP ,1970,M
93,Salomon  ,JPN ,1975,F
94,Team Fromagerie Marcel...  ,FRA ,1983,M
95,Tete D'Or Runners  ,FRA ,1983,F
96,Ridge Merino  ,NZL ,1985,M
97,Gnar Runners  ,USA ,1973,M
98,Columbia Montrail  ,CZE ,1993,M
99,Euforia Biegacza Team  ,POL ,1980,M
100,Montreuil Sur Maine  ,FRA ,1988,M
101,Cursores Aland  ,FIN ,1975,M
102,Space Running Team  ,ITA ,1987,M
103,Chalon Sur Saone  ,FRA ,1986,M
104,CEM / Eterkkom  ,ESP ,1976,M
105,Pontarlier  ,FRA ,1985,M
106,Team Vibram  ,FRA ,1987,F
107,Witiker Lauftreff  ,GER ,1979,M
108,Trondheim  ,USA ,1990,F
109,Orehova Vas  ,SLO ,1980,M
110,Lanrivoare  ,FRA ,1987,M
111,Compex Profeet Perkier  ,FRA ,1984,M
112,Terre de Running  ,FRA ,1977,M
113,Hammer Nutrition  ,USA ,1976,M
114,Team Shimizu  ,FRA ,1979,M
115,Team Trail du Tertre Gris  ,FRA ,1975,M
116,GDM Cabrales  ,ESP ,1979,M
117,X-Trail Team  ,FRA ,1985,M
118,Saint-Malo Tri  ,FRA ,1977,M
119,Pordenone  ,ITA ,1966,M
120,Munster Mountain Runners  ,IRL ,1974,M
121,Ouest Trail Reunion  ,FRA ,1974,M
122,Altopiano Della Vigolana  ,ITA ,1982,M
123,Wielogłowy  ,POL ,1975,M
124,Oradea  ,ROU ,1978,M
125,OLC Kapreolo  ,SUI ,1972,M
126,Tibetcafe.Ch / 100 Mar...  ,SUI ,1981,M
127,CA Champigneulles  ,FRA ,1980,M
128,Letterkenny  ,IRL ,1984,M
129,Columbia Sportswear  ,IRL ,1987,M
130,Nyon  ,ESP ,1980,M
131,Pace EN Courant  ,FRA ,1990,M
132,"Trail &Amp, Pandelygte...  ",DEN ,1989,M
133,Mendoza  ,ARG ,1980,F
134,Traileurs Foret D'Eu  ,FRA ,1985,M
135,Amberieu Marathon  ,FRA ,1973,M
136,Beapt  ,POR ,1979,M
137,Team 42Km195Annecy Ins...  ,FRA ,1977,M
138,Carphial Teror Trail  ,ESP ,1989,M
139,Rheinau  ,GER ,1974,M
140,Bassenge  ,BEL ,1980,M
141,Team Trail Paris  ,FRA ,1991,M
142,Cap Ferret  ,FRA ,1988,M
143,La Motte Servolex  ,FRA ,1984,M
144,Majellaway'S  ,ITA ,1973,M
145,Trento Running Club  ,ITA ,1998,M
146,James Slovak Mountaine...  ,SVK ,1967,M
147,Team Trail 83  ,FRA ,1974,M
148,Mantenay-Montlin  ,FRA ,1983,M
149,Atletica Verbano  ,ITA ,1977,M
150,Team Intersport Tourla...  ,FRA ,1974,M
151,C. D. de Muntanya I Es...  ,ESP ,1970,M
152,Sennecey Le Grand  ,FRA ,1986,M
153,Freerun A3Tours  ,FRA ,1977,M
154,les Vieux Garcons  ,FRA ,1987,M
155,Le Grand Saconnex  ,SUI ,1984,M
156,Toronto  ,CAN ,1981,F
157,Clermont Running Companyy  ,FRA ,1976,M
158,Salomon Finland  ,FIN ,1974,F
159,the Breakfast Club  ,BUL ,1980,M
160,Sant Joan De Les Abad...  ,ESP ,1977,M
161,Baden  ,FRA ,1986,M
162,Bern  ,GER ,1984,M
163,Issy Les Moulineaux  ,FRA ,1981,M
164,Saint-Gilles  ,FRA ,1987,M
165,Trail Serra Vernissa  ,ESP ,1971,M
166,Cupertino  ,USA ,1988,F
167,Nkbv  ,NED ,1979,M
168,Trail Fux´N Running Team  ,AUT ,1987,M
169,Lyon  ,FRA ,1984,M
170,Team Trail Jura  ,FRA ,1989,M
171,Atletica Cral Barilla  ,ITA ,1983,M
172,Asics Frontrunner France  ,FRA ,1982,M
173,Szwla Stargard  ,POL ,1980,M
174,Contamine-Sur-Arve  ,FRA ,1988,M
175,Megève  ,FRA ,1987,M
176,FC Tiefenbach  ,GER ,1982,M
177,Startovaciaciara.Sk / ...  ,SVK ,1978,M
178,Alalpardo Running Team  ,ESP ,1977,M
179,Asva  ,FRA ,1974,M
180,Paris  ,FRA ,1990,M
181,Scott Running  ,GBR ,1977,F
182,Hotel Bahia Alcudia/En...  ,ESP ,1985,M
183,Julbo  ,FIN ,1981,M
184,Runners'LAB  ,BEL ,1987,M
185,Fun Adventure Trailrun...  ,BEL ,1977,M
186,Limavady  ,IRL ,1975,M
187,Saint Victor  ,FRA ,1981,M
188,Notre Dame De Bellecombe  ,FRA ,1974,M
189,Brighton  ,GBR ,1977,M
190,Geneva Runners  ,USA ,1981,M
191,Team Trail Cholet  ,FRA ,1968,M
192,Team 25  ,SUI ,1983,M
193,Ureta Team  ,ARG ,1979,M
194,Team Berci  ,FRA ,1980,M
195,Hommersom Insurances  ,NED ,1974,M
196,Lapin Duduracell/Team ...  ,FRA ,1989,F
197,Aptavita  ,FRA ,1985,M
198,Lons Athle 39/ 2Ep  ,FRA ,1979,M
199,Rutas Navarra  ,ESP ,1972,M
200,Bornem  ,BEL ,1970,M
201,Dawa Race Team  ,FRA ,1984,M
202,Bourlon  ,FRA ,1967,M
203,CAF Reignier / Kikourou  ,FRA ,1972,M
204,Zurich  ,GBR ,1985,M
205,ELS Caga Grimpacims  ,ESP ,1986,M
206,Team Provence Endurance  ,FRA ,1995,M
207,Mercey Le Grand  ,FRA ,1978,M
208,Nens DEL Vendrell  ,ESP ,1986,M
209,Caromb  ,FRA ,1988,M
210,Plouer Sur Rance  ,FRA ,1973,M
211,Gaflenz  ,AUT ,1983,M
212,Reinhardsmunster  ,FRA ,1995,M
213,Cruseilles  ,FRA ,1983,M
214,Pisa  ,ITA ,1978,M
215,Endurance School  ,UKR ,1978,M
216,Koło Biega  ,POL ,1980,M
217,Team Compex-Regilait  ,FRA ,1986,M
218,Issy Triathlon  ,FRA ,1969,M
219,Marignier  ,FRA ,1981,M
220,Jcplp Trail Andouaisis  ,FRA ,1974,M
221,Durango  ,USA ,1975,M
222,Lyon  ,FRA ,1975,M
223,US Palaiseau Triathlon  ,FRA ,1974,M
224,Team Estu-R  ,FRA ,1981,M
225,Cma  ,FRA ,1980,M
226,Team Trail la Burthe  ,FRA ,1975,M
227,Team Estu-R  ,FRA ,1978,M
228,Sochumi Abkhazia Caucasus  ,GRE ,1987,M
229,Kinetik Team  ,BEL ,1976,M
230,Hausen am Albis  ,GBR ,1981,M
231,Team Wild  ,FRA ,1991,M
232,Louvigny  ,FRA ,1985,M
233,Levallois Perret  ,FRA ,1988,M
234,Sillegny  ,FRA ,1976,M
235,La Cote D'Arbroz  ,FRA ,1970,M
236,Team des Monts  ,FRA ,1978,M
237,SSD Tremalzo  ,ITA ,1978,M
238,Sallanches  ,FRA ,1983,M
239,ATL. Audace Noale  ,ITA ,1985,M
240,Montpellier  ,FRA ,1978,M
241,UA Societe Generale  ,FRA ,1973,M
242,Varallo  ,ITA ,1977,M
243,Pyrenees Personal Trai...  ,FRA ,1986,M
244,Rupicapra Team / CAR U...  ,ROU ,1969,M
245,Besacon Triathlon  ,FRA ,1971,F
246,Grup de Correr Emperador  ,ESP ,1975,M
247,Cotentrail  ,FRA ,1986,M
248,Brovello-Carpugnino  ,ITA ,1974,F
249,Beaumont  ,FRA ,1979,M
250,Szczawnica  ,POL ,1978,M
251,Valencia  ,ESP ,1983,M
252,Barcelona  ,ESP ,1989,M
253,Landser  ,FRA ,1986,M
254,Załoga Gorska  ,POL ,1970,M
255,Bucharest  ,ROU ,1977,M
256,Staubli Sports  ,FRA ,1974,M
257,Traileurs Vallee du Ciron  ,FRA ,1972,M
258,La Clusaz  ,FRA ,1991,M
259,Cayaguanca Outdoor EL ...  ,ESA ,1979,M
260,Jogging Club Sablais  ,FRA ,1969,M
261,Vac  ,HUN ,1979,M
262,CEM/Etterkom  ,ESP ,1976,M
263,TT Szczecin  ,POL ,1977,M
264,Tchimberaid / Sobhisport  ,FRA ,1982,M
265,Team Pasturo  ,ITA ,1969,M
266,Asce Thales Valence  ,FRA ,1977,M
267,Von V  ,SUI ,1982,M
268,Asptt Annecy  ,FRA ,1986,M
269,Heugas Jogging Club  ,FRA ,1983,M
270,Tiana  ,ESP ,1976,M
271,Fohp / Poletrail St Regis  ,FRA ,1979,M
272,#Albtraum100  ,GER ,1975,M
273,Willich  ,GER ,1984,M
274,S/L AC Haute Vilaine  ,FRA ,1981,M
275,Team David  ,FRA ,1983,M
276,LV. Marathon Mulheim  ,GER ,1970,M
277,Stansted Mountfitchet  ,GBR ,1978,M
278,Paris  ,FRA ,1975,M
279,Garriguella  ,ESP ,1985,M
280,Selestat  ,FRA ,1989,M
281,Changis Sur Marne  ,FRA ,1974,M
282,Phoenix  ,USA ,1985,M
283,Fresnoy En Thelle  ,FRA ,1971,M
284,Corcyendurance  ,FRA ,1982,M
285,Paris  ,ITA ,1983,M
286,Nieul Airpur  ,FRA ,1976,M
287,NO Dirt NO Fun  ,FRA ,1975,M
288,Cordees de Trail  ,FRA ,1977,M
289,Eapb  ,FRA ,1971,M
290,ARC'Teryx  ,CAN ,1989,M
291,Columbia  ,FRA ,1987,M
292,Telde  ,ESP ,1979,M
293,POC A POC Alcoi  ,ESP ,1968,M
294,Bucharest  ,ROU ,1988,M
295,Bucharest  ,ROU ,1987,M
296,Safran  ,FRA ,1974,M
297,Xella Ytong  ,SLO ,1973,M
298,Dublin  ,IRL ,1989,M
299,Bastia  ,FRA ,1989,M
300,TRS  ,RUS ,1993,M
301,Team Trail Paris  ,FRA ,1990,M
302,Atlanta  ,USA ,1980,F
303,Tavannes  ,SUI ,1957,M
304,Merville  ,FRA ,1988,F
305,Hoerdt  ,FRA ,1972,M
306,UA Maurienne  ,FRA ,1991,M
307,Mountain Fuel  ,GBR ,1984,M
308,Entrechaux  ,FRA ,1971,M
309,Le Mont Dore  ,FRA ,1977,M
310,Annecy  ,FRA ,1978,M
311,Manglayang Academia  ,INA ,1984,M
312,Tourrettes Esprit Trail  ,FRA ,1974,M
313,Team Marguareis  ,ITA ,1988,M
314,Saint Viance  ,FRA ,1975,M
315,Pully  ,SUI ,1979,M
316,East BAY Quadbangers  ,USA ,1980,M
317,les Amis de la Nature  ,FRA ,1980,M
318,S/L US Palaiseau  ,FRA ,1981,M
319,Rochesson Trail Team  ,FRA ,1977,M
320,Clans VTT / Team Panetone  ,FRA ,1978,M
321,Team Trail Magazin  ,GER ,1968,M
322,Billom  ,FRA ,1971,M
323,Stéphane Dmyterko  ,BEL ,1981,M
324,Antwerpen  ,BEL ,1983,M
325,Trailodge Trakks  ,BEL ,1977,M
326,Salta Bartas  ,FRA ,1968,F
327,Almere  ,NED ,1991,M
328,St Kilda - Vic  ,AUS ,1973,M
329,Poltarex  ,POL ,1982,F
330,COP'Ain de Trail/Rolex...  ,FRA ,1983,M
331,Etiolles  ,FRA ,1971,M
332,Mandelieu La Napoule  ,FRA ,1976,M
333,Cantaron  ,FRA ,1983,M
334,Isomes  ,FRA ,1973,M
335,Avoc  ,FRA ,1989,M
336,Athletic Club de Colombes  ,FRA ,1986,M
337,Pedrengo  ,ITA ,1977,M
338,PAU Pyrenees Aventure  ,FRA ,1977,M
339,Oloron O Bearn Sports ...  ,FRA ,1983,M
340,London  ,ROU ,1988,M
341,Chevreuse  ,FRA ,1974,M
342,Megevette  ,FRA ,1980,M
343,Ashi Team  ,ESP ,1977,M
344,Kinvital Salomon/Suunto  ,SLO ,1991,M
345,EHA - Athle Doller  ,FRA ,1972,M
346,Weiningen  ,GBR ,1982,M
347,ADN Mértola  ,POR ,1984,M
348,VO2 Optimum Training  ,FRA ,1980,M
349,Habkern  ,AUT ,1966,M
350,Faucigny Athletic Club  ,FRA ,1971,M
351,Wien  ,AUT ,1973,M
352,Endurance School  ,UKR ,1988,F
353,Rds Hipica Corua  ,ESP ,1969,M
354,Belp  ,SUI ,1975,M
355,Les Houches  ,FRA ,1973,M
356,Chaponnay  ,FRA ,1973,M
357,Swimming Club Boulonnais  ,FRA ,1989,M
358,Brookfield  ,USA ,1988,M
359,Tammneeme  ,EST ,1975,M
360,LA Recastello Radici G...  ,ITA ,1970,M
361,Caledonia  ,USA ,1985,M
362,Arad  ,ROU ,1976,M
363,Brest  ,FRA ,1986,M
364,Iron4Ultra  ,POL ,1977,M
365,Livron Sur Drome  ,FRA ,1971,M
366,Villeurbanne  ,FRA ,1988,M
367,Annecy  ,FRA ,1982,M
368,Trotadors D´Algaida  ,ESP ,1974,M
369,Ouest Trail Reunion  ,FRA ,1986,M
370,Ophain  ,BEL ,1971,M
371,Falicoun Trail  ,FRA ,1976,M
372,Autour du Trail  ,FRA ,1976,M
373,Rapetou  ,FRA ,1980,M
374,Le Mont Dore  ,FRA ,1965,M
375,Paris  ,FRA ,1989,M
376,Rolex Sport  ,SUI ,1973,M
377,Zürich  ,FRA ,1989,M
378,Trakks Team Belgium / ...  ,BEL ,1979,M
378,les Coureurs Celestes  ,BEL ,1970,M
380,Zagreb  ,CRO ,1974,M
381,Romerike Ultraløperklubb  ,NOR ,1969,M
382,A.V. Lionitas / Fysio058  ,NED ,1990,M
383,Tres Valles  ,ESP ,1981,M
383,Tres Valles  ,ESP ,1977,M
385,Le Cannet  ,FRA ,1985,M
386,Puteaux  ,FRA ,1989,M
387,Bois D'Amont  ,FRA ,1986,M
388,Lorette  ,FRA ,1973,M
389,Athletic Club du Pays ...  ,FRA ,1978,M
390,Les Fins  ,FRA ,1988,M
391,Foulee Muroise  ,FRA ,1986,M
392,Running 92  ,FRA ,1974,F
393,Montrouge  ,FRA ,1971,M
394,Runningpro  ,SVK ,1979,M
395,Rzeszowskie Gazele I G...  ,POL ,1981,M
396,Los Angeles  ,USA ,1984,M
397,Coimbatore  ,USA ,1976,M
398,Viseu Trail  ,POR ,1976,M
399,Cuggiono  ,FRA ,1976,M
400,Trailfuxn Running-Team  ,AUT ,1973,M
401,Sheep Skyrunner  ,FRA ,1980,M
402,ITS Group - Fondation ...  ,FRA ,1978,M
403,Santander  ,ESP ,1977,M
404,CE Chevron  ,FRA ,1979,M
405,Le Poizat-Lalleyriat  ,FRA ,1984,M
406,Hammer Nutrition Switz...  ,SUI ,1981,M
407,UA Societe Generale  ,FRA ,1978,M
408,VDA Trailers  ,ITA ,1970,M
409,Martres Tolosane  ,FRA ,1968,M
410,Saint Julien De Civry  ,FRA ,1984,M
411,De Bilt  ,NED ,1972,M
412,RAW Running  ,USA ,1994,M
413,Teysalpi  ,FRA ,1986,M
414,Hagan  ,NOR ,1976,M
415,Salem  ,USA ,1979,M
416,Saint-Orens-De-Gameville  ,FRA ,1979,M
417,Paimboeuf  ,FRA ,1976,M
418,Cmbm  ,ITA ,1975,M
419,Ajokoirat  ,FIN ,1984,M
420,Denver  ,USA ,1984,M
421,Chamonix  ,GBR ,1973,M
422,Calgary  ,CAN ,1958,M
423,Annecy  ,FRA ,1982,M
423,US Arnage  ,FRA ,1975,M
425,Trakks Belgium  ,BEL ,1971,F
426,GVA Team  ,SUI ,1982,M
427,Jogging Loisir Orgeres  ,FRA ,1968,M
428,Wild Skunks  ,POL ,1973,M
429,Aiglemont  ,FRA ,1977,M
430,Patriote Cross de Guines  ,FRA ,1978,M
431,Biegiempopiwo  ,POL ,1976,M
432,Bagnoles Oxygene  ,FRA ,1972,M
433,1On1 Team  ,POL ,1983,M
434,Warszawa  ,POL ,1975,M
435,Ahumats  ,FRA ,1979,M
436,Baskets AUX Pieds  ,FRA ,1978,M
437,Paris  ,FRA ,1981,M
438,S/L CA Vierzon  ,FRA ,1970,M
439,Asptt Annecy  ,FRA ,1971,M
440,C. D. de Muntanya I Es...  ,ESP ,1970,M
441,Trilake Triathlon  ,ITA ,1984,M
442,FB Jooksmine  ,EST ,1979,M
443,OCS - Arrabida Trail Team  ,POR ,1974,M
444,Team Sindeq  ,POR ,1973,M
445,Zabrze  ,POL ,1974,M
446,Acpmeaux  ,FRA ,1973,M
447,GAP Saronno  ,ITA ,1978,M
448,Kraków  ,POL ,1981,M
449,Patriote Cross de Guines  ,FRA ,1962,M
450,Beaumont Athletique Club  ,FRA ,1973,M
451,Rossett  ,GBR ,1979,M
452,Flers-Conde Athle / Am...  ,FRA ,1989,M
453,Maltot  ,FRA ,1982,M
454,Taby IS Skidor  ,SWE ,1974,F
455,Trailodge Ultra Team  ,BEL ,1974,M
456,Les Fins  ,FRA ,1956,M
457,O2 Sports  ,ESP ,1980,M
458,Vilanova I La Geltru  ,ESP ,1976,M
459,Foques I Piolets  ,ESP ,1977,M
460,Coueron  ,FRA ,1978,M
461,Caroux X Trail  ,FRA ,1977,M
462,Annonay  ,FRA ,1988,M
463,Viroflay Running Trail  ,FRA ,1969,M
464,Mannedorf  ,SUI ,1978,M
465,Rsa  ,FRA ,1982,M
466,Sponsport  ,FRA ,1966,M
467,Grandchamp Des Fontaines  ,FRA ,1975,M
468,Lyon  ,FRA ,1992,M
469,Dchesnaye +  ,FRA ,1977,M
470,Tallinn  ,EST ,1980,M
471,Teysalpi  ,SUI ,1964,M
472,Boadilla Del Monte  ,ESP ,1976,M
473,Martignat  ,FRA ,1980,M
474,Velay Athletisme  ,FRA ,1975,M
475,Zielona Góra  ,POL ,1987,F
476,US Talence  ,FRA ,1973,M
477,Perols Footing  ,FRA ,1974,M
478,M.C. Manoppello Sogeda  ,ITA ,1969,M
479,Comano Mountain Runners  ,ITA ,1987,M
480,Spirito Trail ASD  ,ITA ,1994,M
481,Calvisson  ,FRA ,1966,M
482,Pontetrail  ,FRA ,1977,M
483,ES Puig Ibiza Trail  ,ESP ,1977,M
484,Contamine Sur Arve  ,FRA ,1982,M
485,Gruppo Sportivo Mercuryus  ,ITA ,1982,M
486,Lambersart  ,FRA ,1975,M
487,ASD Scarpe Bianche  ,ITA ,1985,F
488,Correr SOC REC Granja  ,POR ,1976,M
489,St Albans  ,GBR ,1973,M
490,Detrac  ,INA ,1983,M
491,NAO Fazemos NEM Mais U...  ,POR ,1971,M
492,Fartleck  ,FRA ,1972,M
493,Toulon  ,FRA ,1972,M
494,AC Digne les Bains  ,FRA ,1972,M
495,Piriac Sur Mer  ,FRA ,1990,M
496,Evrecy  ,FRA ,1977,M
497,Warszawa  ,POL ,1969,M
498,Trondheim OG Omegn Spo...  ,NOR ,1968,M
499,Yerres AC  ,FRA ,1980,M
500,Vionnaz  ,SUI ,1979,M
501,Chelles  ,FRA ,1969,M
502,AS CHU  ,FRA ,1976,M
503,Versailles  ,FRA ,1978,M
504,Asso les Ebobes  ,FRA ,1973,M
505,St Albans Striders  ,GBR ,1970,M
506,Levallois-Perret  ,FRA ,1976,M
507,Guzargues  ,FRA ,1967,M
508,Colombes  ,FRA ,1970,M
509,Oberndorf/Melk  ,AUT ,1962,M
510,Zeulenroda-Triebes  ,GER ,1971,M
511,A.E.Correr A Gelida  ,ESP ,1967,M
512,ASC BNP Paribas Paris  ,FRA ,1974,M
513,Embrun  ,FRA ,1982,M
514,Samba Trail Running Club  ,FIN ,1976,M
515,Samba Trailrunning Club  ,FIN ,1979,F
516,Betty Power  ,ESP ,1982,M
517,SA Raval  ,ESP ,1972,M
518,Tchimbe Raid  ,FRA ,1978,M
519,Endurance Shop la Roch...  ,FRA ,1980,M
520,Courir A Meyreuil  ,FRA ,1972,M
521,La Buissiere  ,FRA ,1967,M
522,les Tontons Trailers  ,FRA ,1984,M
523,Talence  ,FRA ,1980,M
524,Saint-Laurent-Du-Pont  ,FRA ,1966,M
525,Wujek Biega  ,POL ,1979,M
526,Team Trail 17  ,FRA ,1975,M
527,Columbia Montrail  ,CZE ,1981,F
528,London  ,AUS ,1989,M
529,Impulsion Trail Angers  ,FRA ,1984,M
530,Riccione  ,ITA ,1980,M
531,Esty  ,FRA ,1982,M
532,Telefonica / Profuturo  ,ESP ,1974,M
533,Jonzier  ,FRA ,1972,M
534,Marseille  ,FRA ,1981,M
535,Chagrin Falls  ,USA ,1977,F
536,Grimbergen  ,BEL ,1977,M
537,Rezé  ,FRA ,1986,M
538,Collonges Sous Saleve  ,FRA ,1975,M
539,Asvel Triathlon  ,FRA ,1971,M
540,CS Clichy Triathlon  ,FRA ,1985,M
541,Rocklizards  ,TUR ,1981,M
542,Rocklizards  ,TUR ,1981,F
543,SIX Fours Triathlon  ,FRA ,1965,M
544,AS CHU Nantes  ,FRA ,1972,M
545,Keswick AC  ,GBR ,1971,M
546,Asap  ,FRA ,1985,M
547,Huesca  ,ESP ,1972,F
548,Tria Equipe ELZ  ,GER ,1973,M
549,Ultrabob  ,SVK ,1980,M
550,Ultra/Bob  ,SVK ,1982,M
551,Spac  ,ALG ,1976,M
552,Salllanches  ,FRA ,1971,M
553,Mouans Sartoux  ,FRA ,1978,M
554,Rovereto  ,ITA ,1979,M
555,Racing Club Bruxelles  ,BEL ,1967,M
556,Trept  ,FRA ,1983,M
557,Morzine  ,FRA ,1970,M
558,Oncy Sur Ecole  ,FRA ,1975,M
559,Acheres La Foret  ,FRA ,1980,M
560,Clube Zuppe  ,POR ,1972,M
561,Clube Zupper  ,POR ,1975,M
562,Navajo Nation  ,USA ,1967,M
563,Monticelli Terme  ,ITA ,1974,M
564,LRC  ,GBR ,1967,F
565,Oufteam  ,BEL ,1988,M
566,Never Come Back  ,AUT ,1970,M
567,Bordeaux  ,FRA ,1977,M
568,Longmont  ,USA ,1988,M
569,Madrid  ,PER ,1976,F
570,Saint Claude  ,FRA ,1974,M
571,Melleville  ,FRA ,1985,M
572,Sa Milana-Alaro  ,ESP ,1979,M
573,CC Lloret  ,ESP ,1989,M
574,Corremon Trail  ,ESP ,1964,M
575,Serre Chevalier Brianc...  ,FRA ,1988,M
576,Montigny Le Bretonneux  ,FRA ,1978,M
577,Saint Michel De Chaillol  ,FRA ,1987,M
578,"Kelowna, Bc  ",CAN ,1983,F
579,Easqy  ,FRA ,1974,M
580,Larmor Plage  ,FRA ,1977,M
581,Pagala Belgium/Rcb-Crabs  ,GBR ,1976,M
582,TPT  ,FRA ,1979,M
583,Saint Cyr Au Mont D'Or  ,FRA ,1986,M
584,A.S. Bred  ,FRA ,1972,M
585,Sunndalsøra  ,NOR ,1957,M
586,Renton  ,USA ,1974,M
587,Viviers Du Lac  ,FRA ,1980,F
588,Running 92  ,FRA ,1972,M
589,Barf  ,IRL ,1978,M
590,CA Champigneulles  ,FRA ,1983,M
591,AJ Auxerre  ,FRA ,1979,M
592,Twister Team  ,POL ,1978,M
593,Saint-Saturnin  ,FRA ,1975,M
594,Winnipeg  ,CAN ,1990,M
595,Columbia  ,ITA ,1970,M
596,Linz  ,AUT ,1974,M
597,7 BCA  ,FRA ,1982,M
598,Colmar Trail Aventures  ,FRA ,1971,M
599,D'Ranner  ,FRA ,1965,M
600,Cordon  ,FRA ,1985,M
601,Isle Aumont  ,FRA ,1971,M
602,Beaumont AC  ,FRA ,1972,M
603,Lomagna  ,ITA ,1975,M
604,Verbania  ,ITA ,1962,M
605,A.C Entente Nord Saint...  ,FRA ,1989,M
606,Formrider Annecy  ,FRA ,1980,M
607,Płonące Kondony Babuni  ,POL ,1978,M
608,Saint Didier En Velay  ,FRA ,1981,F
609,Mölndal  ,SWE ,1972,M
610,Cerritos  ,USA ,1970,M
611,Aiglemont  ,FRA ,1970,M
612,Roclincourt  ,FRA ,1979,M
613,CAJ 78  ,FRA ,1979,M
614,Runningpro  ,SVK ,1971,F
615,Kotwica Brzeg  ,POL ,1979,M
616,Boyelles  ,FRA ,1969,M
617,Niederkorn  ,LUX ,1976,M
618,Drumettaz Clarafond  ,FRA ,1985,M
619,Team Endurance 06  ,FRA ,1977,M
620,Vannes  ,FRA ,1977,M
621,Socarun  ,ESP ,1976,M
622,AS Framatome Lyon  ,FRA ,1984,M
