Rank,Club,Country,YOB,Gender
128,Scott Running  ,GBR ,1977,F
129,Plaisir  ,FRA ,1977,M
130,Zaporowy Maraton / Gopr  ,POL ,1981,M
131,SRK Alba / AK Sloboda  ,BIH ,1979,M
132,Muay-Running-Team  ,POL ,1978,M
133,NON-Stop-Ultra Brakel  ,GER ,1972,M
134,London  ,GBR ,1977,M
135,Emmaus  ,USA ,1988,M
136,ASD Skylakes  ,ITA ,1989,M
137,Runners Siberia  ,RUS ,1985,M
138,Herselt  ,BEL ,1985,M
139,Gattieres  ,KAZ ,1976,M
140,Geneva Runners  ,ROU ,1984,M
141,Technique Extrême  ,VEN ,1981,M
142,Fuentes&Calvente/Natura  ,ESP ,1975,M
143,C.A.Taymory-Spiridon  ,ESP ,1976,M
144,Wimbledon Windmilers  ,GBR ,1973,M
145,Amcf-Arrabida Trail Team  ,POR ,1976,M
146,Cirencester AC  ,GBR ,1974,M
147,DR. Merino/4Moove  ,POR ,1987,M
148,Alicante  ,ESP ,1981,M
149,Keswick AC  ,GBR ,1974,M
150,Rennes  ,FRA ,1984,M
151,UNI Pour L'Autonomie  ,FRA ,1981,M
152,STV Baltschieder  ,SUI ,1977,M
153,Atletismo Clube da Tocha  ,POR ,1981,M
154,Beijing  ,CHN ,1987,M
155,Toxiza  ,ESP ,1968,M
156,Entraigues  ,FRA ,1980,M
157,Asao Sports Physio Center  ,JPN ,1982,M
158,Toread  ,CHN ,1991,F
159,Geneve  ,FRA ,1990,M
160,Graoully Aventure  ,FRA ,1972,M
161,Tuen Mun  ,FRA ,1979,M
162,Asics UK Frontrunner  ,GBR ,1977,F
163,Adidas Terrex  ,USA ,1983,M
164,Amsterdam  ,NED ,1985,M
165,St Pierre En Val  ,FRA ,1985,M
166,Team Freexion - Runnin...  ,FRA ,1980,M
167,Geriatrix Rudlova  ,SVK ,1972,M
168,Kraków  ,POL ,1979,M
169,Correcaminos Solidario...  ,ITA ,1972,M
170,Longford AC  ,IRL ,1974,M
171,DR. Merino/ 4Moove  ,POR ,1983,M
172,Hash House Harriers  ,USA ,1981,M
173,Collbaix  ,ESP ,1974,M
174,AIA Vitality  ,THA ,1976,M
175,Saint Gervais  ,FRA ,1991,M
176,Team Trailers du Vexin  ,FRA ,1977,M
177,EAA Bonneville  ,FRA ,1978,M
178,Fatranski Vlci  ,SVK ,1973,M
179,COS 360 Sport&Health  ,ESP ,1977,M
180,Quart (Girona)  ,ESP ,1990,M
181,Maguelone / Ibex  ,FRA ,1974,M
182,Sant Pol De Mar  ,ESP ,1979,M
183,Aitana Trail Team  ,ESP ,1978,M
184,Hong Kong  ,FRA ,1978,M
185,London  ,GBR ,1979,F
186,ASD Kinomana  ,ITA ,1978,M
187,Scienze Motorie LAB  ,ITA ,1973,M
188,Hercog Running Team  ,POL ,1977,M
189,Malift Mallorca Trail  ,ESP ,1981,M
190,DOA  ,GER ,1978,M
191,IN Bike  ,ESP ,1974,M
192,Montreal  ,CAN ,1971,M
193,UA Societe Generale  ,FRA ,1983,M
194,Morienval  ,FRA ,1971,M
195,Jelenia Góra  ,POL ,1974,M
196,Run Crew  ,SWE ,1982,M
197,Schönering  ,AUT ,1979,M
198,DMA  ,FRA ,1980,M
199,Cluj-Napoca  ,ROU ,1969,M
200,Raidlight  ,FRA ,1972,M
201,A.D. Grupo Montaña Pegaso  ,ESP ,1974,M
202,Samba Trail Running Club  ,FIN ,1976,M
203,La Escala  ,ESP ,1979,M
204,Team Columbia Hong Kong  ,HKG ,1981,M
205,L'Hopital Du Grosbois  ,FRA ,1977,M
206,Castelnau D'Estretefonds  ,FRA ,1979,M
207,La Bresse  ,FRA ,1981,M
208,Mountain Runners DEL B...  ,ESP ,1977,M
209,Mitzach  ,FRA ,1978,F
210,Natural Force  ,POR ,1976,M
211,Eurex Fields-ON-Earth.com  ,JPN ,1977,M
212,Sampeyre  ,ITA ,1987,M
213,Guadatrail  ,ESP ,1975,M
214,VNG - Embracing Challe...  ,VIE ,1989,M
215,Club Maraton Lucena  ,ESP ,1972,M
216,Chaudfontaine  ,BEL ,1978,M
217,Ljubljana  ,SLO ,1974,M
218,Wasatch Mountain Wrang...  ,USA ,1979,M
219,Hunters BOG Trotters  ,GBR ,1980,F
220,OSA Valmadrera  ,ITA ,1974,M
221,Beijing  ,CHN ,1983,M
222,Topatlet Trail Rasica  ,SLO ,1967,M
223,Goxwiller  ,FRA ,1973,M
224,AU Vieux Campeur Paris  ,ESP ,1978,M
225,Domblans  ,FRA ,1982,M
226,PK Idrija  ,SLO ,1971,M
227,A.L.Echirolle  ,FRA ,1994,M
228,KS Idmar  ,POL ,1979,M
229,Peseux  ,SUI ,1967,M
230,La Balme De Sillingy  ,FRA ,1985,M
231,Centurion Running Ultr...  ,GBR ,1975,F
232,ASS.ESP. Mountain Runn...  ,ESP ,1963,M
233,Grup Muntanya Monover  ,ESP ,1976,M
234,Watergrasshill AC  ,HUN ,1984,M
235,Gressan  ,ITA ,1956,M
236,Trail Monster Running  ,USA ,1979,M
237,Laitek Romania  ,ROU ,1992,M
238,Buesserach  ,GER ,1989,F
239,Berowra Bush Runners  ,AUS ,1961,M
240,Eisernerhans.com  ,GER ,1979,M
241,ARE Fysiocenter  ,SWE ,1973,M
242,Ytong Xella  ,SLO ,1973,M
243,Perth  ,GBR ,1963,M
244,Eiger Ultra Trail Quar...  ,SUI ,1972,M
245,Team100Mile  ,JPN ,1979,M
246,Abcansado Trail  ,POR ,1983,F
247,"Hangzhou, Zhejiang  ",CHN ,1981,M
248,C. E. Colivenc  ,ESP ,1975,M
249,Beynost  ,FRA ,1974,M
250,Club Excursionista Pri...  ,ESP ,1985,M
251,Parkrun Katowice  ,POL ,1982,M
252,Chamonix  ,GBR ,1976,M
253,Zagreb  ,CRO ,1974,M
254,Seattle  ,USA ,1981,M
255,KS Alaska/Columbia/Spa...  ,POL ,1981,F
256,Olkusz  ,POL ,1984,M
257,C.E.M. Alqueries Running  ,ESP ,1981,M
258,UA Villenoy  ,FRA ,1974,M
259,North Manly  ,AUS ,1971,M
260,Bristol and West AC  ,GBR ,1977,M
261,Gstaad  ,SUI ,1982,M
262,Cursores Aland  ,FIN ,1975,M
263,Creazzo  ,ESP ,1981,M
264,"Boise, Idaho  ",USA ,1971,M
265,Ottawa  ,CAN ,1975,M
266,Migne Auxances  ,FRA ,1975,M
267,Artix  ,FRA ,1983,M
268,Bournemouth  ,GBR ,1977,M
269,Manuel Iradier M. T.  ,ESP ,1980,M
270,Alcudia de VEO Team  ,ESP ,1973,M
271,Prague  ,FRA ,1982,M
272,Runners Athletic Club  ,HKG ,1984,M
273,Realenc'S Trail Runners  ,ESP ,1972,M
274,TNF Canada  ,CAN ,1974,F
275,Trail Umbria-La Plana  ,ESP ,1984,M
276,Azpeitia  ,ESP ,1974,M
277,Doceo Technosport Trai...  ,ITA ,1969,M
278,CEE Trail Club  ,ESP ,1976,M
279,Loughborough  ,GBR ,1973,M
280,Cmbm  ,FRA ,1963,M
281,Cmbm  ,FRA ,1973,M
282,Burlington  ,USA ,1972,M
282,OCS Proaventuras  ,POR ,1984,M
284,Montbonnot  ,FRA ,1979,M
285,Columbia  ,GER ,1970,M
286,Running Team Agen  ,FRA ,1988,M
287,Salomon Hong Kong  ,HKG ,1973,M
288,Doreen  ,AUS ,1977,M
289,SA Milana - Alaro  ,ESP ,1979,M
290,Running WAY Trail  ,ESP ,1977,M
291,SA Milana Alaro  ,ESP ,1975,M
292,Chantraine  ,FRA ,1989,M
293,Panama  ,PAN ,1972,M
294,上海交大安泰户外跑者俱乐部  ,CHN ,1982,M
295,A.S.D. Esercito Ce.SEL...  ,ITA ,1971,M
296,Lisboa  ,POR ,1973,M
297,Sassenage  ,FRA ,1969,M
298,Team 100 Mile  ,JPN ,1968,M
299,Runcrew  ,AUS ,1981,M
300,Airbus Running  ,FRA ,1982,M
301,Athletique Club du Pay...  ,FRA ,1973,M
302,St Martin Le Vinoux  ,FRA ,1986,M
303,A.E.Mountain Runners B...  ,ESP ,1968,M
304,Hong Kong  ,NZL ,1974,M
305,Ultra Taaaaac Team  ,FRA ,1971,M
306,G.M. Ensidesa Gijon  ,ESP ,1986,M
307,Banka  ,SVK ,1979,M
308,Bernin  ,FRA ,1968,M
309,Chambéry  ,FRA ,1976,M
310,Team Costo  ,FRA ,1971,M
311,Konstantynow Lodzki  ,POL ,1971,M
312,Sarzana  ,ITA ,1981,M
313,LG Steinhagen  ,GER ,1970,M
314,Virginia  ,USA ,1980,M
315,Baouw Chris&Olive  ,FRA ,1982,M
316,Porto  ,POR ,1973,M
317,129训练营  ,CHN ,1984,M
318,Team Ceramiq  ,FRA ,1966,M
319,Crolles  ,FRA ,1980,M
320,Arsm  ,POR ,1983,M
321,Kavzi  ,SLO ,1966,M
322,Park City Running  ,USA ,1966,M
323,"Nashville, Tn  ",USA ,1974,M
324,Bois Guillaume  ,FRA ,1984,M
325,Prorunner  ,EST ,1972,M
326,Hoka ONE ONE Slovenia  ,SLO ,1971,M
327,Hong Kong  ,FRA ,1974,M
328,Endurance Shop Albi  ,FRA ,1981,M
329,Rabbit Elite Trail  ,USA ,1974,F
330,Corsica Sport Mezzavia  ,FRA ,1963,M
331,Vincennes  ,FRA ,1983,M
332,Ville La Grand  ,IRL ,1975,M
333,Schustangs Banda  ,SUI ,1979,M
334,PAU Pyrenees Aventure  ,FRA ,1977,M
335,Bitton Road Runners  ,GBR ,1971,M
336,Gresi'Courant  ,FRA ,1975,M
337,Beaumont Athletique Club  ,FRA ,1967,F
338,Ultra Trail Team Signa...  ,FRA ,1975,M
339,Brussels  ,USA ,1973,M
340,Itra  ,USA ,1976,M
341,Palaiseau  ,FRA ,1976,M
342,Altitude Race  ,ITA ,1978,M
343,Paris Universite Club  ,FRA ,1984,M
344,Bray  ,POL ,1979,M
345,Lyon  ,FRA ,1967,M
346,les Foulées Saussinoises  ,FRA ,1972,M
347,Swedish Trail Running  ,SWE ,1974,M
348,Rolex Sport  ,FRA ,1980,M
349,La Guardia De Jaen  ,FRA ,1979,M
350,Saint-Gilles  ,FRA ,1987,M
351,Ouest Trail Reunion  ,FRA ,1964,M
352,POL  ,POL ,1978,M
353,Mynyddwyr de Cymru  ,NOR ,1982,M
354,Marignier  ,FRA ,1958,M
355,Hong Kong  ,GBR ,1970,F
356,Lozina  ,POL ,1978,M
357,Trex  ,MKD ,1989,M
358,Trex / PSD Makpetrol  ,MKD ,1989,M
359,Trex/Psd Makpetrol  ,MKD ,1984,M
360,Stade Lavallois Athlet...  ,FRA ,1981,M
361,Columbia Montrail Runn...  ,RUS ,1981,F
362,Redruth  ,GBR ,1986,M
363,"Altra, Cep, Nuun, Hone...  ",GER ,1971,M
363,Den Haag  ,GBR ,1985,M
365,Freerun86  ,FRA ,1977,M
366,Palmarunners  ,ESP ,1978,M
367,Clarefontaine En Yvel...  ,FRA ,1969,M
368,Issy Triathlon  ,FRA ,1969,M
369,LEI Ultra Trail  ,CHN ,1982,M
370,Columbia  ,CHN ,1978,M
371,C.M.Umma  ,ESP ,1973,M
372,Running Sport Trail  ,ESP ,1990,M
373,Team Vegan.AT  ,AUT ,1975,M
374,Pretoria  ,RSA ,1976,M
375,Plauzat Sport Nature  ,FRA ,1981,M
376,Green Run  ,CHN ,1983,M
377,36Hdczb  ,POL ,1979,M
378,Adidas  ,CHN ,1986,F
379,Ambleside  ,GBR ,1969,M
380,Lamino Mendi Taldea  ,ESP ,1980,M
381,Trizurko  ,ESP ,1971,M
382,Iruñea  ,ESP ,1976,M
383,Hallett Cove  ,FRA ,1980,M
384,ESt Charente Athletique  ,FRA ,1965,M
385,Rio De Janeiro  ,BRA ,1979,F
386,Compton Harriers  ,GBR ,1972,M
387,Trailodge  ,BEL ,1976,M
388,Paris  ,FRA ,1980,M
389,CAP Endurance  ,FRA ,1967,M
390,les Furets D'Eiffage  ,FRA ,1986,M
391,St Bern  ,SUI ,1972,M
392,Trepadores  ,POR ,1973,M
393,Toulon  ,FRA ,1979,M
394,Ceven'Trail  ,FRA ,1974,M
395,Goniolabs EC  ,SWE ,1970,M
396,Atletica Valle Scrivia  ,ITA ,1972,M
397,Atletica Vallescrivia  ,ITA ,1968,M
398,C.D. Trazacaminos  ,ESP ,1977,M
399,C.D.La Otra Vertiente  ,ESP ,1977,M
400,Hong Kong  ,HKG ,1993,M
401,Runplus Trail  ,MAC ,1984,M
402,Team Champsaur Nature  ,FRA ,1974,M
403,"Alpinrunner, LCU  ",SUI ,1974,F
404,www.Jaccuzzi.CH  ,SUI ,1969,M
405,La Cote Runners  ,SUI ,1973,M
406,Asunción  ,PAR ,1992,F
407,Maienfeld  ,SUI ,1978,M
408,Turbigo  ,ITA ,1990,M
409,Pgac  ,FRA ,1965,M
410,Saint-Maur Des Fosses  ,FRA ,1973,M
411,Metz  ,FRA ,1979,M
412,Calgary  ,CAN ,1990,M
413,Calgary  ,SVK ,1978,M
414,Up&Down  ,ROU ,1974,M
415,North Norfolk Beach Ru...  ,GBR ,1974,M
416,Team 100 Miles  ,JPN ,1971,M
417,Chatillon  ,FRA ,1972,M
418,Chamonix  ,GBR ,1985,F
419,Aydat  ,FRA ,1982,M
420,BTM Runners  ,POL ,1978,M
421,Courapieds 33  ,FRA ,1987,M
422,Samba Trail Running Club  ,FIN ,1978,M
423,AK Sljeme  ,CRO ,1984,M
424,Passy Alpirunning  ,FRA ,1979,F
425,GAV Vertova  ,ITA ,1976,M
426,Cabba Bouc BEL AIR  ,FRA ,1966,M
427,les Coureurs Celestes  ,BEL ,1958,M
428,Coffeerun SE  ,HUN ,1973,M
429,Hartfuessler/Team Moun...  ,GER ,1975,M
430,Cami Dels Ibers  ,ESP ,1976,M
431,les 41 du St-Quentin  ,FRA ,1967,M
432,Team Amaya-Edelweiss  ,SUI ,1980,M
433,Limoux Triathlon Club  ,FRA ,1974,M
434,Geispitzen  ,FRA ,1979,M
434,Ultra Taaaaac Team  ,ITA ,1964,M
436,Ghent  ,BEL ,1990,M
437,AS CHU Nantes  ,FRA ,1978,M
438,Chastre  ,BEL ,1970,M
439,Reus  ,ESP ,1980,M
440,Chamonix Mont Blanc  ,FRA ,1980,M
441,Team Iron Race/Crosscall  ,FRA ,1971,M
442,Tri Team Hagen  ,GER ,1982,M
443,TG Viktoria Augsburg  ,GER ,1982,F
444,CA Orsay Triathlon  ,FRA ,1980,F
445,Atletica Piombino Dese  ,ITA ,1972,M
446,St Priest En Jarez  ,FRA ,1974,M
447,Patriote de Bonnetable  ,FRA ,1977,M
448,Barberaz  ,FRA ,1975,F
449,Run the Alps  ,USA ,1964,M
450,Madrid  ,ESP ,1978,M
451,Trieste Atletica  ,ITA ,1982,M
452,Bousse  ,FRA ,1988,M
453,Spirito Trail ASD  ,ITA ,1975,M
454,Tokyo  ,JPN ,1964,M
455,Crewstach  ,FRA ,1983,M
456,Saint Vit  ,FRA ,1968,M
457,Assenovgrad  ,BUL ,1982,M
458,Larkfield AC  ,GBR ,1970,M
459,KB Aktywni Konin  ,POL ,1969,M
460,Magazyn Triathlon  ,POL ,1978,F
461,Niezrzeszony  ,POL ,1971,M
462,La Possession  ,FRA ,1980,M
463,North Coast Ultra  ,IRL ,1975,M
463,B.A.R.F.  ,IRL ,1978,M
465,Dreamtime Trails  ,POL ,1970,M
466,Basel  ,GER ,1969,M
467,Real Academia  ,POR ,1969,M
468,Barcelona  ,ESP ,1976,M
469,Sobhi Sport Nantes  ,FRA ,1973,M
470,Poole  ,GBR ,1967,M
471,Kanagawa  ,JPN ,1977,M
472,Tragame Tierra  ,ARG ,1974,M
473,les Allobroges du Brevon  ,FRA ,1980,M
474,Columbia  ,CHN ,1984,M
475,Runners do Demo  ,POR ,1980,M
476,Nantes  ,FRA ,1968,M
477,Angers  ,FRA ,1966,M
478,Trailblazers  ,AUS ,1977,F
479,Salomon Israel  ,ISR ,1986,M
480,Ivancna Gorica  ,SLO ,1962,M
481,Bear Cubs Running Team  ,POL ,1989,M
482,The Peak  ,USA ,1966,M
483,Boletrai de Teror  ,ESP ,1981,M
484,Olicoaching  ,FRA ,1983,M
485,ESM  ,BEL ,1984,M
486,Neukirchen an der Vöckla  ,AUT ,1978,M
487,London  ,GBR ,1975,M
488,Vetroz  ,FRA ,1986,M
489,G.M.Picu Pienzu  ,ESP ,1977,M
490,Sergy  ,FRA ,1977,M
491,Adro  ,ITA ,1973,M
492,Willoughby  ,GBR ,1975,M
493,Bradipi DEL Mottarone  ,ITA ,1977,M
494,Cear Alta Ribagorca  ,ESP ,1972,M
495,Redondela  ,ESP ,1981,M
496,Atletica Cortina  ,ITA ,1977,F
497,Team Quiche  ,FRA ,1972,M
498,Aberdeen  ,GBR ,1976,M
499,Compressport Singapore  ,SGP ,1979,M
500,Correrayuda  ,ARG ,1965,M
501,Crosscall  ,FRA ,1978,M
502,Montgeron  ,FRA ,1975,M
503,Pernik  ,BUL ,1985,M
504,Domingueros Run Vilanova  ,ESP ,1974,M
505,"Bend,Oregon  ",USA ,1967,F
506,College Park  ,USA ,1974,M
507,Marbay  ,BEL ,1975,M
508,Hong Kong  ,SGP ,1982,F
509,Villaz  ,FRA ,1974,M
510,Willington  ,POL ,1976,M
511,Herlev  ,DEN ,1968,M
512,Columbia Montrail  ,CZE ,1993,M
513,Bellevue  ,USA ,1978,M
514,Bellevue  ,USA ,1971,M
515,Running Club Saint Mai...  ,FRA ,1973,F
516,Bordeaux  ,FRA ,1989,M
517,Sydney  ,GBR ,1981,F
518,Seysses  ,FRA ,1987,M
519,Avully  ,SUI ,1969,M
520,BTK Trailteam  ,USA ,1986,F
521,Val-David  ,CAN ,1965,M
522,Casablanca  ,FRA ,1967,M
523,Gatineau  ,CAN ,1980,M
524,Niderviller  ,FRA ,1967,M
525,Sinteco Running Team  ,ITA ,1974,M
526,C4  ,ESP ,1980,M
527,Les Deux Alpes  ,FRA ,1982,M
528,Perth  ,USA ,1983,F
529,Smac  ,FRA ,1970,M
530,Smac  ,FRA ,1963,M
531,Kikourou  ,FRA ,1968,M
532,"South Lancaster, Ontario  ",CAN ,1964,M
533,Geneve  ,CHI ,1971,M
534,UNI Pour L'Autonomie  ,FRA ,1978,M
535,P-WEG-Team  ,GER ,1976,M
536,Messimy  ,FRA ,1962,M
537,Bangalore  ,IND ,1986,M
538,CEE-M  ,POR ,1975,M
539,Today Running Squad  ,ROU ,1987,M
539,Bucharest  ,ROU ,1988,M
541,St Malo De Guersac  ,FRA ,1983,M
542,Barcelona  ,ESP ,1980,M
543,Bicha Trail&Mountain  ,ESP ,1971,M
544,Faverolles  ,FRA ,1975,M
545,Dijon Triathlon  ,FRA ,1974,M
546,Carrigaline  ,IRL ,1967,M
547,3T Valtaro  ,ITA ,1981,M
548,St-Jerome  ,CAN ,1980,M
549,Club de Muntanya I Esc...  ,ESP ,1968,M
549,Lifeparkmax Ingolstadt  ,GER ,1961,M
551,Eastleigh  ,GBR ,1969,M
552,Team Trail Touraine  ,FRA ,1973,M
553,Walbach  ,FRA ,1970,F
554,Owaki Japan  ,JPN ,1973,M
555,Carphial Teror  ,ESP ,1984,M
556,Enfield  ,HKG ,1977,M
557,Team Echappee Belle  ,FRA ,1982,M
558,Paris  ,BEL ,1977,M
559,Cahors Trail  ,FRA ,1984,M
560,SDS L'Aquila  ,ITA ,1972,M
561,Malmo LOP  ,SWE ,1968,M
562,Cras Sur Reyssouze  ,FRA ,1970,M
563,Eteaux  ,FRA ,1980,M
564,Chamonix  ,GBR ,1980,M
565,Saint Bauzille De Putois  ,FRA ,1991,M
566,Team Sicilia  ,ITA ,1983,M
567,Asa  ,SWE ,1969,M
568,US Joigny  ,FRA ,1982,M
569,Experun Performance  ,FRA ,1987,M
570,Nice  ,FRA ,1978,M
571,Toldolon  ,BRA ,1968,M
572,Macot La Plagne  ,FRA ,1970,M
573,Kochi  ,JPN ,1974,M
574,Magredi Mountain Trail  ,ITA ,1966,M
575,Fondettes  ,FRA ,1962,M
576,Cmbm  ,FRA ,1970,F
577,JC Epernay Champagne  ,FRA ,1972,F
578,Toremoti  ,JPN ,1982,M
579,Toulouse  ,FRA ,1978,M
580,Cpmv  ,BEL ,1982,M
581,Portet Athletic Club  ,FRA ,1973,M
582,Masquefa Trail  ,ESP ,1971,M
583,Rennsteiglaufverein  ,GER ,1969,M
584,Etiolles  ,FRA ,1971,M
585,Autun  ,FRA ,1975,M
586,Saint Saulve  ,FRA ,1963,M
587,the North Face Trail A...  ,CHI ,1977,M
588,Rock City Runners  ,USA ,1976,M
589,Albatrosy  ,POL ,1978,M
590,Greeen Grasss & White ...  ,POL ,1967,M
591,Team Qu.BE  ,BEL ,1985,M
592,Jakobsli Maraton  ,NOR ,1968,M
593,Semur Athletisme Aventure  ,FRA ,1981,M
594,Rybnik  ,POL ,1991,M
595,OCS Proaventuras  ,POR ,1972,M
596,Runnatics  ,ESP ,1979,M
597,Running Madhouse  ,HKG ,1978,M
598,Munster  ,FRA ,1986,M
599,Garmin France  ,FRA ,1985,M
600,Warsaw  ,POL ,1977,M
601,Leigh-On-Sea  ,GBR ,1977,M
602,Saint Jean de Monts Tr...  ,FRA ,1972,M
603,Team Nordic Trail  ,SWE ,1982,M
604,"Nissin, Aichi  ",JPN ,1971,M
605,DDT-Team  ,SLO ,1977,M
606,London  ,GBR ,1983,M
607,Avoriaz  ,FRA ,1967,M
608,CA Fontenais  ,SUI ,1975,M
609,Richmond  ,GBR ,1979,M
610,Maidstone  ,GBR ,1981,M
611,Monster  ,JPN ,1980,M
612,AAA du Lyonnais  ,FRA ,1963,M
613,Roodepoort  ,RSA ,1971,M
614,Team Lesboisansoif  ,FRA ,1964,M
615,Escalquens  ,FRA ,1985,M
616,Ogikubo  ,JPN ,1972,M
617,Saint Jean Du Cardonnay  ,FRA ,1971,M
618,ASS. Esp. Diedre  ,ESP ,1969,M
619,Saint Savournin  ,FRA ,1975,M
620,OSA Valmadrera  ,ITA ,1965,M
621,Chartres  ,FRA ,1972,M
622,Team 100 Mile  ,JPN ,1971,M
623,Pringy  ,FRA ,1984,M
624,Helldog  ,GER ,1976,M
625,Milicz  ,POL ,1976,M
626,Altitrail  ,FRA ,1986,M
