Rank,Club,Country,YOB,Gender
64,Patagonia  ,AUS ,1987,M
65,Cartel Running Club  ,FRA ,1979,M
66,Team Trail Paris  ,FRA ,1987,M
67,Milmet / Salomon / Suunto  ,POL ,1982,M
68,Etoile Sportive Ayent  ,SUI ,1973,M
69,Craft  ,USA ,1985,M
69,,FRA ,1989,M
71,Courir À Beaucaire / D...  ,FRA ,1985,M
72,Adidas Terrex  ,USA ,1990,F
73,N.A.  ,USA ,1994,M
74,Disagiati on the Road+  ,ITA ,1977,M
75,JLI Fasteners  ,SWE ,1983,M
76,,SWE ,1988,M
77,Runiam  ,ESP ,1979,M
78,Hoka Korea  ,KOR ,1977,M
79,,CHN ,1985,M
80,LA Sportiva Polska / M...  ,POL ,1988,M
81,Team Obaya  ,ESP ,1976,M
82,St Malo Triathlon Cote...  ,FRA ,1977,M
83,Team Cimalp  ,FRA ,1981,M
84,les Vieux Garcons  ,FRA ,1987,M
85,Team Runrun  ,USA ,1980,M
86,Osveikals.Lv/Trailinity  ,LAT ,1991,M
87,IGN Rando  ,FRA ,1989,M
88,Enebybergs IF  ,SWE ,1976,M
89,,FRA ,1970,M
90,Vafa  ,FRA ,1991,M
91,,FRA ,1983,M
92,Kookabarra  ,FRA ,1981,M
93,,ESP ,1988,M
94,,FRA ,1982,M
95,Salomon Global  ,AUS ,1996,F
96,Villeneuve D'Ascq  ,FRA ,1978,M
97,,FRA ,1989,M
98,Beacon Hill Runners  ,GBR ,1986,M
99,,FRA ,1981,M
100,,SUI ,1991,M
101,Team Berci Cotes D’Armor  ,FRA ,1989,M
102,Wadiibex  ,EGY ,1989,M
103,2EP  ,FRA ,1981,M
104,Access Mont Blanc  ,FRA ,1981,M
105,Club Triatlón Torrevieja  ,ESP ,1974,M
106,Salomon  ,CAN ,1981,F
107,,USA ,1982,M
108,CE Taradell  ,ESP ,1978,M
109,Malift Mallorca Trail  ,ESP ,1969,M
110,C.E. Camí Dels Ibers T...  ,ESP ,1984,M
111,Topo Athletic  ,USA ,1994,M
112,CAP Endurance  ,FRA ,1991,M
113,,SLO ,1991,F
114,,FRA ,1990,M
115,Team Hoka  ,EST ,1972,M
116,Alpago Tornado  ,ITA ,1979,M
117,,ITA ,1991,M
118,Team Valtellina  ,ITA ,1983,M
119,,FRA ,1978,M
120,Salomon Switzerland  ,SUI ,1983,F
121,,FRA ,1983,M
122,Bouc Athlé  ,FRA ,1982,M
123,Abersewenth Friends  ,GER ,1988,M
124,,FRA ,1982,M
125,CEC Vilamajor  ,ESP ,1988,M
126,,ESP ,1981,M
127,Triathlon Geneve  ,FRA ,1988,M
128,Fartleck  ,FRA ,1987,F
129,Hoka  ,JPN ,1988,F
130,Team Trakks Belgium  ,BEL ,1988,M
131,Old Peak  ,ESP ,1982,M
132,Summano Cobras  ,ITA ,1992,M
133,Balas Perdias /Locos d...  ,ESP ,1984,M
134,Compressport France  ,FRA ,1995,M
135,IL Ponte Scandicci  ,ITA ,1981,M
136,,USA ,1981,M
137,LA Ventanica / Spirido...  ,GER ,1966,M
138,Lapin Duduracell/Raidl...  ,FRA ,1989,F
139,JEM Klopsa  ,POL ,1988,M
140,,HKG ,1990,F
141,Respire Sports/Vo2Max  ,BEL ,1988,M
142,AAA du Lyonnais  ,FRA ,1978,M
143,Transcend Trails / Hoka  ,AUS ,1986,M
144,Runmotion Coach  ,FRA ,1990,M
145,,AUS ,1988,M
146,,AUS ,1984,M
147,LA Sportiva  ,GBR ,1987,F
148,Tailwind Trailblazers  ,AUS ,1983,M
149,,SUI ,1984,M
150,Altra  ,USA ,1989,F
150,Nike  ,USA ,1988,M
152,Team Sool  ,FRA ,1986,M
153,Atletas Veteranos de S...  ,ESP ,1982,M
154,Kasimis Training  ,GRE ,1986,M
155,,FRA ,1986,M
156,TuS Lichterfelde  ,GER ,1992,M
157,TUC Triathlon  ,FRA ,1990,M
158,Pays de Maîche Trail  ,FRA ,1973,M
159,,GER ,1988,M
160,,ESP ,1987,M
161,,USA ,1985,F
162,Team Rosalie Lucien Léon  ,FRA ,1980,M
163,Entre Dunes et Bouchots  ,FRA ,1980,M
164,Tchimbé Raid Martinique  ,FRA ,1997,M
165,,FRA ,1991,M
166,Kailas  ,CHN ,1985,F
167,Moove All1  ,ESP ,1986,M
168,C.D. Montaña Vergara  ,ESP ,1982,M
169,,SUI ,1992,M
170,MAO Running Spirit  ,SUI ,1980,M
171,Foques I Piolets  ,ESP ,1977,M
172,Team Bäse  ,SUI ,1968,M
173,,FRA ,1989,M
174,Fairlands Valley Spartans  ,GBR ,1988,M
175,Hunters BOG Trotters  ,GBR ,1980,M
176,Russin-LES-Bains  ,SUI ,1977,M
177,Cayaguanca Outdoor Equ...  ,ESA ,1979,M
178,Trechaumont Running  ,FRA ,1972,M
179,Haberdasher Cottonbott...  ,USA ,1972,M
180,,FRA ,1984,M
181,,FRA ,1985,M
182,Abcansado Trail  ,POR ,1978,M
183,,FRA ,1985,M
184,AS Monaco  ,FRA ,1974,M
185,Ampuis Sports Outdoor  ,FRA ,1979,M
186,Take IT Slow  ,HKG ,1988,M
187,,CAN ,1995,M
188,Uphill Athlete  ,USA ,1983,M
189,Buff / Scott  ,NOR ,1981,F
190,Club Alpin Français Bo...  ,FRA ,1978,M
191,,USA ,1998,M
192,Rolex Sport  ,FRA ,1980,M
193,Grupa Nomax  ,POL ,1975,M
194,Perols Footing - FDI G...  ,FRA ,1977,M
195,,FRA ,1982,M
196,Vette Feltrine  ,ITA ,1983,M
197,Trencafites  ,ESP ,1982,M
198,,POR ,1987,M
199,Aztrail/Mercentro  ,POR ,1981,M
200,,FRA ,1990,M
201,,CAN ,1995,M
202,,JPN ,1981,M
203,Sbdpatrol  ,ESP ,1976,M
204,Triathlon Phoenix  ,ESP ,1981,M
205,Pista de Lansare  ,ROU ,1979,M
206,Undersåkers IF  ,SWE ,1967,M
207,ACS Natation Seyssinet  ,FRA ,1985,M
208,C.D Llamaello  ,ESP ,1984,M
209,,FRA ,1988,M
210,,ROU ,1971,M
211,Avitrail  ,ESP ,1974,M
212,Isaksson Running  ,SWE ,1989,M
213,,RSA ,1982,M
214,,RSA ,1983,M
215,Backsliders’ Jogging S...  ,USA ,1988,M
216,Associação Desportiva ...  ,VEN ,1984,M
217,,BOL ,1981,F
218,Misty Mountains Runners  ,USA ,1964,M
219,Teamwest  ,IRL ,1982,M
220,Kilmallock A.C  ,IRL ,1988,M
221,Onlyone Sports  ,JPN ,1982,M
222,,CAN ,1990,M
223,,ESP ,1981,M
224,,CAN ,1986,M
225,Centro Porsche Murcia  ,ESP ,1978,F
226,Trailrunningacademy  ,ROU ,1984,M
226,Trailrunning Academy  ,ROU ,1993,M
228,ES Puig Ibiza Trail  ,ESP ,1977,M
229,,FRA ,1987,M
230,Running Club Bourgoin ...  ,FRA ,1981,M
231,,SUI ,1983,F
232,Arch  ,BEL ,1976,M
233,,FRA ,1972,M
234,Unio Excursionista de VIC  ,ESP ,1978,M
235,UD'Anet  ,ITA ,1973,M
236,,ESP ,1990,M
237,Team HC  ,USA ,1972,M
238,,RSA ,1987,M
239,Corretrail Cuenca  ,ESP ,1970,M
240,,FRA ,1990,M
241,Hoka  ,ITA ,1988,M
242,Kasimis Training  ,GRE ,1992,F
243,,ROU ,1983,M
244,Flying Carpettes Team  ,FRA ,1986,M
245,Ultra Taaaaac Team  ,ITA ,1977,F
246,,FRA ,1970,M
247,Serpentine  ,FRA ,1978,M
248,,RSA ,1996,M
249,,FRA ,1987,M
250,Sportunion Waidhofen/Ybbs  ,AUT ,1984,M
251,Brooks Trail Runners  ,GER ,1987,F
252,,NZL ,1992,M
253,Only One/Chicken Heart  ,JPN ,1993,M
254,,FRA ,1979,M
255,,AUS ,1986,M
256,AN Fysiocenter  ,SWE ,1973,M
257,Vall'On Trail / Ambass...  ,FRA ,1987,M
258,,FRA ,1984,M
259,Team Choup'S  ,FRA ,1989,M
260,Villalobos  ,FRA ,1984,F
261,,FRA ,1983,M
262,,NED ,1993,F
263,+Qtrail  ,BOL ,1979,M
264,Trailrunners Avanza Jaen  ,ESP ,1972,M
265,G.S.Orobie  ,ITA ,1962,M
266,,FRA ,1977,M
267,,FRA ,1995,M
268,Trail-Maniacs  ,CZE ,1988,F
269,Wyco Wolfpack  ,USA ,1985,M
270,Clcs Firminy  ,FRA ,1984,F
271,CS Trencafites  ,ESP ,1982,M
272,Snowshoes 05  ,FRA ,1983,M
273,,FRA ,1983,M
274,Namban Rengo  ,JPN ,1985,M
275,,HUN ,1983,M
276,Fundación Caja Rural B...  ,ESP ,1983,M
277,Tgcbinn  ,ESP ,1970,M
278,CAP Vercors  ,FRA ,1984,M
279,,USA ,1978,F
280,Trideporte Trail Ibiza  ,ESP ,1978,F
281,Team Allinge Publier  ,FRA ,1983,M
282,Runporg  ,CZE ,1991,M
283,Eastside Trail Runners  ,CAN ,1991,M
284,Ttgu  ,SWE ,1985,M
285,,GER ,1983,M
286,Team Point Barre  ,FRA ,1981,M
287,Vertboi Summer  ,USA ,1984,M
288,,UKR ,1980,M
289,Gmea Trail  ,ESP ,1979,M
290,Friends Insta Trail  ,FRA ,1992,M
291,Skydive Skåne Trailrun...  ,SWE ,1981,M
292,,LTU ,1972,M
293,Flambie  ,FRA ,1988,M
294,,GBR ,1974,M
295,,ESP ,1974,M
296,Team Kiprun  ,FRA ,1976,M
297,,FRA ,1983,M
298,,FRA ,1978,M
299,,USA ,1990,M
300,,SUI ,1990,M
301,Runners'LAB  ,BEL ,1987,M
302,,FRA ,1987,M
303,,HKG ,1991,F
304,Ultrakotlina Team  ,POL ,1983,M
305,,USA ,1989,M
306,IFK Mora  ,SWE ,1975,F
306,Bannerman Run Club  ,CAN ,1983,M
308,,USA ,1978,M
309,Bonnie & Clyde  ,POL ,1979,F
310,,USA ,1994,M
311,,CZE ,1977,M
312,Raid Aventures Pays de...  ,FRA ,1982,M
313,,CAN ,1987,M
314,,FRA ,1991,M
315,Team Bath Athletic Club  ,GBR ,1983,M
316,,GER ,1984,M
317,,FRA ,1979,M
318,Runaway  ,ITA ,1995,M
319,,JPN ,1968,M
320,Pentraid  ,FRA ,1987,M
321,Mountain Runners DEL B...  ,ESP ,1963,M
322,Rbrg TRC  ,JPN ,1985,M
323,CEG  ,ESP ,1974,M
324,Nike Trail  ,USA ,1990,M
325,,SWE ,1992,M
326,,POL ,1982,M
327,CEP  ,ESP ,1978,M
328,Clube Atletismo Cambad...  ,ESP ,1977,M
329,,FRA ,1983,M
330,UTB | Mega Basic | V8 ...  ,AUT ,1989,M
331,,FRA ,1991,M
331,Smac  ,FRA ,1982,M
333,,FRA ,1977,M
334,,HUN ,1979,M
335,NC-Cap'S / CAP Conde  ,FRA ,1987,M
336,Teysalpi  ,AUT ,1983,M
337,Tlag  ,JPN ,1974,M
338,Team SKY Kyoto  ,JPN ,1998,F
339,SKI Club Camprodon  ,ESP ,1985,M
340,U.E.Sant Joan de les A...  ,ESP ,1977,M
341,,FRA ,1990,M
342,UR Team  ,ARG ,1984,M
343,Ultra Trail des Chic-C...  ,CAN ,1992,M
344,,ITA ,1984,M
345,,GER ,1983,M
346,,GER ,1977,M
347,,FRA ,1989,M
348,,AUS ,1977,M
349,,IRL ,1979,F
350,Víctor Álvarez  ,ARG ,1976,F
351,EA Chambery  ,FRA ,1981,M
352,All4Run Margecany  ,SVK ,1976,M
353,AIX Athlé Provence  ,FRA ,1971,M
354,,CHN ,1977,M
355,,USA ,1986,M
356,,JPN ,1969,M
357,,GER ,1977,M
358,Cami Dels Ibers  ,ESP ,1976,M
359,,GER ,1991,M
360,Ultraway.PL  ,POL ,1983,M
361,DU Coaching  ,ITA ,1975,M
362,,FRA ,1977,M
363,Team 100 Mile  ,JPN ,1979,M
364,,MEX ,1983,M
365,Trakks Team Belgium  ,BEL ,1976,M
366,Scotty Hawker Enduranc...  ,AUS ,1976,M
367,,FRA ,1976,M
368,,FRA ,1988,M
368,Club Excursionista Val...  ,ESP ,1980,M
370,Mallare Outdoor  ,ITA ,1965,M
370,AC la Roche sur YON  ,FRA ,1984,M
372,Explora Project  ,FRA ,1986,M
373,Tailwind Adventure Com...  ,VIE ,1995,M
374,Solo  ,POR ,1996,M
375,,FRA ,1983,M
376,,FRA ,1987,M
377,Noskohzo  ,JPN ,1985,M
378,TRM/Fitness Play  ,KOR ,1975,M
379,Basel Dragons  ,USA ,1980,M
380,Parpan Personaltraining  ,SUI ,1985,M
381,,CAN ,1987,M
382,Klub Ponosnih Posamezn...  ,SLO ,1965,M
383,,GBR ,1978,M
384,AT Home  ,FRA ,1980,M
385,,ITA ,1987,M
386,T.G. Sokol Zakopane  ,POL ,1970,M
387,Coureurs des Bistrots  ,FRA ,1982,M
388,Banzaii Antártida  ,ESP ,1968,M
389,Tuesday Trails  ,RSA ,1987,M
390,Club Natació Almenar  ,ESP ,1983,M
391,,AUT ,1969,M
392,,GBR ,1975,M
393,MUD and Snow ASD  ,ITA ,1981,M
394,Trailway  ,THA ,1987,M
395,the North Face Thailan...  ,THA ,1991,M
396,,CAN ,1995,F
397,Guachochi  ,MEX ,1996,M
398,les Passerelles  ,FRA ,1988,M
399,Glenmore AC  ,IRL ,1976,M
400,,GBR ,1992,M
401,,FRA ,1980,M
402,,USA ,1991,F
403,,FRA ,1983,M
404,Perfect DAY Training  ,GER ,1973,M
405,Saint Jean de Monts  ,FRA ,1994,M
406,,NZL ,1983,F
407,,ROU ,1988,M
408,Hälle IF  ,SWE ,1979,M
409,CM Ibonciecho  ,ESP ,1977,F
410,Champ REN  ,JPN ,1988,M
411,,GBR ,1978,M
412,,FRA ,1973,M
413,,FRA ,1979,M
414,HFR  ,CAN ,1977,M
415,Bouygtel Sport  ,FRA ,1994,M
416,,JPN ,1982,M
417,Tri Club Geneve  ,FRA ,1984,M
418,,FRA ,1985,M
419,Montecobre  ,ESP ,1981,M
420,,FRA ,1990,M
421,,FRA ,1978,M
422,,CHN ,1984,M
423,the North Face  ,CAN ,1982,M
424,Team Versailles Montreuil  ,FRA ,1975,M
425,,ESP ,1973,M
426,Aligots  ,ESP ,1979,M
427,,FRA ,1978,M
428,,FRA ,1990,M
429,Find Your Everest Team  ,ESP ,1991,M
430,,GER ,1979,M
431,,GBR ,1991,M
432,Runaway  ,GBR ,1982,M
433,,SLO ,1984,F
434,,ESP ,1976,M
435,,GBR ,1979,M
436,,USA ,1988,F
437,Vegan Runners IK  ,SWE ,1983,M
438,CDM Xesteiras  ,ESP ,1975,M
439,,GBR ,1969,M
440,WE Trail  ,BEL ,1983,M
441,,AUS ,1991,M
442,Guerville Trail Running  ,FRA ,1990,M
443,,FRA ,1986,M
444,,FRA ,1982,M
445,Team Marguareis  ,ITA ,1991,M
446,Kailas  ,CHN ,1974,M
447,,ISL ,1976,M
448,,JPN ,1970,M
449,the White Goat  ,ESP ,1976,M
450,,FRA ,1971,M
451,Team 100 Mile  ,JPN ,1983,M
452,Kailas Team Malaysia  ,MAS ,1982,M
453,Centre Excursionista d...  ,ESP ,1975,M
454,,SWE ,1983,M
455,,GBR ,1989,M
456,,FRA ,1985,M
457,Profreezethailand  ,THA ,1983,M
458,Team 100 Mile  ,JPN ,1968,M
459,BAR I Muntanya  ,ESP ,1979,M
460,MAD Moving Minds  ,ITA ,1991,M
461,Dynafit  ,GBR ,1986,M
462,Atpower Team  ,ITA ,1975,M
463,Pcrunners  ,BRA ,1990,M
464,,FRA ,1988,M
465,Nens DEL Vendrell  ,ESP ,1986,M
466,,GBR ,1984,M
467,Hoka  ,JPN ,1978,M
468,CD Jaén Trail  ,ESP ,1973,M
469,Trailrunners Avanza Jaén  ,ESP ,1974,M
470,Trailrunners Avanza Jaén  ,FRA ,1979,M
471,,CAN ,1984,M
472,Ukraine  ,UKR ,1992,F
473,Elleerre ASD  ,ITA ,1972,M
474,Avis Ascoli Marathon  ,ITA ,1974,M
475,CAR Cluj  ,ROU ,1969,M
476,LET'S Run Paris  ,USA ,1990,F
477,,AUS ,1977,M
478,Crossfit Nordic  ,SWE ,1989,M
479,Gudö SK  ,SWE ,1972,M
480,3C Compagnia Corridori...  ,ITA ,1977,M
481,,FRA ,1986,M
482,Khanom  ,THA ,1981,M
483,IDA Runners  ,JPN ,1980,M
484,DUC Army Fartleck  ,FRA ,1985,M
485,,FRA ,1970,M
486,,SWE ,1973,M
487,,SWE ,1981,M
488,Mega Club Lamballe  ,FRA ,1981,M
489,Kenmare AC  ,IRL ,1985,F
490,PH Racing  ,GBR ,1981,M
491,Geneva Run Club  ,RSA ,1988,M
492,,SUI ,1980,M
493,GVA Team  ,FRA ,1982,M
494,US Thouars  ,FRA ,1973,M
495,,ROU ,1986,F
496,Salomon Malaysia  ,SGP ,1979,M
497,,RSA ,1981,M
498,Team Trail Magazin / W...  ,GER ,1972,M
499,Chartreuse  ,FRA ,1987,M
500,Capital Runners  ,LTU ,1981,M
501,,FRA ,1973,M
502,CA Dents-DU-Midi  ,SUI ,1971,M
503,Clans VTT / Team Panetone  ,FRA ,1978,M
504,,USA ,1973,M
505,,USA ,1994,F
506,RC Arras Triathlon  ,FRA ,1984,M
507,LA Foulée Salonaise  ,FRA ,1971,M
508,,NED ,1968,M
509,Team Trail Paris  ,FRA ,1988,M
509,Grup Muntanya Monòver  ,ESP ,1979,M
511,,HKG ,1972,M
512,,USA ,1977,M
513,,ESP ,1984,M
514,Polar/Berghaus  ,ESP ,1975,M
515,,JPN ,1982,M
516,AV Pijnenburg Soest  ,NED ,1973,M
517,UA Société Générale  ,FRA ,1981,M
518,,ESP ,1988,M
519,LA Chaîne de L'Espoir ...  ,FRA ,1989,M
520,Wimbledon Windmilers  ,GBR ,1988,M
521,Team Bauge Trail  ,FRA ,1985,M
522,Mynydd DU  ,GBR ,1966,M
523,,AUT ,1983,M
524,,JPN ,1975,M
525,,FRA ,1989,M
526,Atletica Manara  ,ITA ,1991,M
527,,USA ,1965,M
528,,CAN ,2000,M
529,,FRA ,1982,F
530,Team Running Pilat  ,FRA ,1983,M
531,Rocky Mountain Runners  ,USA ,1981,F
532,Rising Hearts  ,USA ,1980,M
533,,FRA ,1974,M
534,,USA ,1986,M
535,,GBR ,1979,M
536,,FRA ,1997,M
537,Capex  ,ESP ,1983,M
538,Achille et Lélé  ,FRA ,1990,M
539,,FRA ,1986,M
540,Dogfriendlyswiss.CH  ,SUI ,1982,M
541,Usol Trail  ,FRA ,1983,M
542,,FRA ,1969,M
543,,FRA ,1986,M
544,,JPN ,1979,M
545,Team Obaya  ,ESP ,1982,M
546,Don Quijote Albacete  ,ESP ,1987,M
547,Team Gaaren #Beahero  ,ITA ,1985,M
548,Team Compex  ,FRA ,1991,M
549,Origami Runners / Leki...  ,LTU ,1992,M
550,Ultra Taaaaac Team  ,ITA ,1980,M
551,,FRA ,1993,M
552,Team Trail Aix-LES-Bains  ,FRA ,1991,M
553,,FRA ,1984,M
554,Diez Club  ,URU ,1982,M
555,Maebashi Trail Running...  ,JPN ,1986,M
556,Pellissier Sport  ,SUI ,1968,M
557,,FRA ,1977,M
558,Flat RC  ,JPN ,1992,M
559,Clube Desportivo Escol...  ,POR ,1975,M
560,,FRA ,1988,M
561,,AUS ,1984,M
562,,FRA ,1990,M
563,,FRA ,1973,M
564,,VEN ,1974,M
565,,GER ,1968,M
566,CE Gracia  ,ESP ,1976,M
567,,ITA ,1974,M
568,All4Run Košice  ,SVK ,1987,M
569,Team Terre de Running ...  ,FRA ,1971,M
570,Thurgovia Trailfox  ,SUI ,1975,M
571,,FRA ,1987,M
572,Cercle Sabadelles 1856  ,ESP ,1969,M
573,,AUS ,1979,F
574,,CAN ,1982,F
575,Athlé 632 Tournefeuille  ,FRA ,1989,M
576,Turku Trail Runners  ,FIN ,1987,M
577,,FRA ,1976,M
578,,ITA ,1979,M
579,Todmorden Harriers  ,GBR ,1984,M
580,Sons of Abisko  ,SWE ,1982,M
581,,FRA ,1978,M
582,,FRA ,1976,M
583,Trail Nation Run Club  ,AUS ,1980,M
584,Club Atletismo Alcoy  ,ESP ,1977,M
585,,FRA ,1973,M
586,,ESP ,1971,M
587,,HKG ,1983,M
588,,FRA ,1970,M
589,Finefitness  ,SWE ,1979,M
590,CD Hilera  ,ESP ,1989,M
591,Atletica Vallescrivia  ,ITA ,1974,M
592,Rasines Trail  ,ESP ,1974,M
593,Alpino Tabira  ,ESP ,1974,M
594,/  ,FRA ,1982,F
595,,FRA ,1974,M
596,,USA ,1978,M
597,,CAN ,1981,M
598,Olympique Cabries Calas  ,FRA ,1981,F
599,,FRA ,1971,M
600,OCS - Arrábida Trail Team  ,POR ,1969,M
601,Marcin Świerc Team / A...  ,POL ,1976,M
602,Czajlandia  ,GER ,1988,M
603,Tête D'Or Runners  ,FRA ,1979,M
604,Scap Montélimar  ,FRA ,1979,M
605,Trail-School  ,FRA ,1986,M
606,Trail-School  ,FRA ,1986,M
607,,FRA ,1978,F
608,,AUS ,1972,M
609,Rsea Peñalara  ,ESP ,1964,M
609,SRT 세종러닝팀  ,KOR ,1971,M
609,,BOL ,1975,M
612,Evian OFF Course  ,FRA ,1973,M
613,Champren  ,JPN ,1980,M
614,Todovertical V+  ,ESP ,1971,M
615,,ESP ,1969,M
616,Azalai ASD  ,ITA ,1984,M
617,,FRA ,1983,M
618,,USA ,1994,M
619,Biegające Ząbki  ,POL ,1988,M
620,Kyoto Milers Club  ,JPN ,1970,M
621,US la Châtre  ,FRA ,1988,M
622,Bprunco  ,USA ,1988,M
623,LIZ Runners  ,POR ,1982,M
624,,SUI ,1974,M
625,,AUS ,2001,M
626,CCM Trail  ,POR ,1968,M
627,LA Foulee Annemasse  ,FRA ,1973,M
628,,FRA ,1971,F
629,,FRA ,1974,M
630,Kaja Team  ,POL ,1976,M
631,Polssegueros Trail  ,ESP ,1978,M
632,,ESP ,1978,M
633,Ganguren M.T.  ,ESP ,1971,M
634,Longo Tra!L  ,FRA ,1973,M
635,,FRA ,1980,M
636,Anaitasuna M.B.  ,ESP ,1990,M
637,,ITA ,1962,M
638,Stivo Running ASD  ,ITA ,1971,M
639,Climb South West and V...  ,GBR ,1975,M
640,Casual Runners Barcelona  ,GBR ,1989,M
641,Osky Team  ,ARG ,1979,M
642,Team X3M Snooze  ,FRA ,1977,M
643,,BRA ,1985,M
644,Caminotayres  ,FRA ,1986,M
645,,SUI ,1972,M
646,,RSA ,1992,M
647,Trail 25K & Flash Run  ,THA ,1989,M
648,Rbrg-TRC  ,JPN ,1985,M
649,,FRA ,1989,M
650,,ESP ,1976,M
651,Airbus  ,FRA ,1966,M
652,,USA ,1982,F
653,,MEX ,1976,M
654,Compressport Switzerland  ,SUI ,1995,M
655,,FRA ,1971,M
656,,FRA ,1984,M
657,Running Cycling Club Blaj  ,ROU ,1979,M
658,Gymrecord  ,VEN ,1977,M
659,Club Nerja Atletismo  ,ESP ,1977,M
660,Saanen Gstaad  ,SUI ,1984,M
661,,FRA ,1981,M
662,Turbo Runners  ,AUS ,1988,M
663,Braveheart  ,THA ,1977,M
664,Urban Runners Arcachon  ,FRA ,1985,M
665,Hong Ngoc Runners  ,VIE ,1973,M
666,,FRA ,1989,M
667,Team Marguareis  ,ITA ,1976,M
668,Regny/Shortcuttrail/Al...  ,FRA ,1978,M
669,KM A KM  ,ARG ,1984,M
670,,FRA ,1981,M
671,Bournemouth AC  ,GBR ,1976,M
672,Cims Cerdanyola  ,ESP ,1982,M
673,,HKG ,1992,M
674,,FRA ,1980,M
675,,POL ,1983,M
676,Team Trail Aix-LES-Bains  ,FRA ,1984,F
676,les Givré de NAY  ,FRA ,1982,M
678,Madteam  ,ESP ,1967,M
679,Altraredteamthailand  ,THA ,1980,F
680,Salomon Norway  ,NOR ,1981,F
681,ONE DAY YOU Will Dance...  ,NOR ,1973,M
681,,NOR ,1976,M
683,Centre Excirsionista Olot  ,ESP ,1979,M
684,,ESP ,1976,M
685,LA Foulée Muroise  ,FRA ,1985,M
686,Team Salomon Paris  ,FRA ,1986,M
687,Bain & Company  ,NOR ,1993,F
688,KB Sobótka  ,POL ,1979,M
689,Stubbington Green Runners  ,GBR ,1972,M
690,,ITA ,1973,M
691,,USA ,1983,F
692,Trotadors D'Algaida  ,ESP ,1995,M
693,Eldiablo  ,FRA ,1976,M
694,NCS Traileman  ,FRA ,1988,M
695,,USA ,1982,M
696,C.D. Trijote  ,ESP ,1975,M
697,,FRA ,1994,M
698,Usbw  ,BEL ,1971,M
699,9@3  ,FRA ,1979,M
700,RC-Tri-Run Atus Weiz  ,AUT ,1980,M
701,,GBR ,1990,F
702,the North Face Chile  ,CHI ,1984,F
703,Paomaren  ,CHN ,1979,M
704,JNM Narbonne  ,FRA ,1973,M
705,,USA ,1980,M
705,ASS. Exc. Cornudella d...  ,ESP ,1975,M
707,,UKR ,1979,M
708,Swissalptrails  ,SUI ,1982,M
709,Ninguno  ,PER ,1976,F
710,DD Running Team  ,ARG ,1980,M
711,Team ICA Ultra  ,SWE ,1981,M
712,Endurance Mind  ,FRA ,1989,M
713,,BEL ,1995,M
714,Magic  ,FRA ,1976,M
715,,HKG ,1990,M
716,,FRA ,1985,M
717,Tralla Trail  ,ESP ,1972,M
718,Royal Bâtard  ,FRA ,1975,M
