Rank,Club,Country,YOB,Gender
172,Winston-Salem  ,USA ,1982,M
173,Mount Victoria  ,AUS ,1972,F
174,Chazay D'Azergues  ,FRA ,1976,M
175,Santo Antonio Da Serr...  ,POR ,1975,M
175,Clube Desportivo E Cul...  ,POR ,1986,M
177,Team 100 Mile  ,JPN ,1984,M
178,Stroud  ,GBR ,1984,M
179,Atletica Monterosa Fog...  ,ITA ,1977,M
180,les Vieux Garcons  ,FRA ,1986,M
181,To2Run  ,BRA ,1985,M
182,Segovia  ,ESP ,1983,M
183,on Running  ,POL ,1990,F
184,Campton  ,USA ,1989,M
185,Green Power Sports Team  ,ESP ,1978,M
186,Königsberg  ,AUT ,1984,M
187,Toronto  ,CAN ,1981,F
188,Club Corredores Africanus  ,ESP ,1981,M
189,Saint Laurent Du Var  ,FRA ,1989,M
190,TUB  ,FRA ,1986,M
191,Przedwojewski Team  ,POL ,1984,M
192,US Toul Athletisme  ,FRA ,1982,M
193,Olot Terra de Volcans  ,ESP ,1970,M
194,Grand Combe Des Bois  ,FRA ,1973,M
195,Kailas Thailand  ,THA ,1988,M
196,Kikourou  ,FRA ,1977,M
197,ARC'Teryx  ,CAN ,1980,M
198,Fast Competicio  ,ESP ,1987,M
199,Sisport  ,ITA ,1979,M
200,Lleida - 25003  ,ESP ,1985,M
201,Paris  ,FRA ,1987,M
202,Praha  ,CZE ,1982,M
203,Avusy  ,SUI ,1984,M
204,Tourny  ,FRA ,1977,M
205,Viroflay  ,FRA ,1988,M
206,Venezuelatrailrunners  ,VEN ,1995,M
207,Gone Running / Joint D...  ,AUS ,1984,M
208,Lyon  ,FRA ,1989,M
209,Piranhas  ,FRA ,1975,M
210,Arkana Koala Team  ,ESP ,1987,M
211,Club Atletic Torello  ,ESP ,1983,M
212,Brières-Les-Scellés  ,FRA ,1973,M
213,Inov-8 / Osveikals  ,LAT ,1993,F
214,Grenland Ultra Runners...  ,NOR ,1975,M
215,Gahs / Annecy Trail Ru...  ,FRA ,1988,M
216,CRU Chapellois  ,FRA ,1992,M
217,Adidas Terrex/ Funtrails  ,JPN ,1979,M
218,Kokkinotrimithia  ,CYP ,1994,M
219,Seynod  ,FRA ,1993,M
220,Torino  ,ITA ,1983,M
221,Lapin Duduracell  ,FRA ,1989,F
222,Team High Coast Distil...  ,SWE ,1972,M
223,Kanagawa  ,JPN ,1988,M
224,Altsasuko Mendigoizaleak  ,ESP ,1992,M
225,Chilates  ,ARG ,1980,F
226,AC Talant  ,FRA ,1985,M
227,Zurich  ,SUI ,1975,M
228,Grizzler 1225  ,SUI ,1983,M
229,Salt Lake City  ,USA ,1983,M
230,Vilanova I La Geltru  ,ESP ,1976,M
231,Urtxintxak  ,FRA ,1979,M
232,Cherbourg En Cotentin  ,FRA ,1988,M
233,Valencia  ,ESP ,1977,M
234,Team WAA  ,FRA ,1962,M
235,Asft  ,FRA ,1984,M
236,AL Voiron  ,FRA ,1976,M
237,Busseol  ,FRA ,1974,M
238,Ronchamp  ,FRA ,1992,M
239,Monsanto Running Team  ,POR ,1979,M
240,Hampton Hill  ,GBR ,1980,M
241,Kalispell  ,USA ,1980,M
242,Riga  ,LAT ,1983,M
243,Playlife Runner  ,ITA ,1973,M
244,Playlife Ponzano  ,ITA ,1973,M
245,Eldwick  ,GBR ,1979,M
246,Los Angeles  ,USA ,1971,M
247,Asptt Toulon la Valette  ,FRA ,1987,M
248,Magyar Futosport Egyes...  ,HUN ,1982,M
249,Arista  ,ESP ,1972,M
250,Sherbrooke  ,CAN ,1972,M
251,les Givres de NAY / Te...  ,FRA ,1979,M
252,Nadalez Team  ,ARG ,1988,M
253,Team Philgrill des Alpes  ,FRA ,1994,M
254,BK Maraton Beciklin  ,CRO ,1999,M
255,BK Maraton Beciklin  ,CRO ,1997,M
256,Salomon Sweden / Taby ...  ,SWE ,1974,F
257,Peak Ultra Trail  ,NED ,1977,M
258,Courir A Sausset  ,FRA ,1957,M
259,Otwock  ,POL ,1983,M
260,Betton  ,FRA ,1990,M
261,Hoka  ,JPN ,1988,F
262,Dombes Running Evasion  ,FRA ,1980,M
263,AIX Athle Trail  ,FRA ,1979,M
264,Serc  ,GER ,1988,M
265,Mortcerf  ,FRA ,1972,M
266,Cmbm  ,FRA ,1988,M
267,Laskowe Ludki  ,POL ,1990,M
268,Bauma  ,SUI ,1989,M
269,CUS PRO Patria Milano ...  ,ITA ,1988,M
270,Salt Lake City  ,USA ,1989,F
271,Sisport Genova  ,ITA ,1989,M
272,Sansego/Jc Sports  ,SUI ,1977,M
273,Ultra Runners Squad  ,COL ,1983,M
274,Jeff Btrail - Team Cli...  ,FRA ,1972,M
275,Team Macatrail  ,FRA ,1973,M
276,Brokkenlopers  ,BEL ,1982,M
277,TOR  ,FRA ,1970,M
278,Ixelles  ,AUS ,1988,M
279,Etang Salé Les Hauts  ,FRA ,1993,M
280,Core Nutrition  ,UKR ,1986,M
281,Tokyo  ,JPN ,1978,M
282,3 Rivers Racing Elite  ,USA ,1992,M
283,Oviedo  ,ESP ,1978,M
284,Olinda  ,MRI ,1982,M
285,Ste Thérèse  ,CAN ,1972,M
286,Team TO2 BZH  ,FRA ,1981,M
287,Plan D'Aups  ,FRA ,1982,M
288,Guémené-Penfao  ,FRA ,1998,M
289,Oviedo  ,USA ,1973,M
290,CPB Rennes  ,FRA ,1992,M
290,EAC Embrun  ,FRA ,1996,M
292,MY Coach IN BOX  ,FRA ,1973,M
293,RSt ATH  ,BEL ,1978,M
294,O QUE Queremos E Monte  ,POR ,1983,M
295,Podistica Torino-CMP  ,ITA ,1972,F
296,A.S.D. Sarnico  ,ITA ,1983,M
297,"Matsumoto, Nagano-Ken  ",JPN ,1967,M
298,Yelverton  ,GBR ,1974,M
299,Martignat  ,FRA ,1980,M
300,ETA the North Face Angers  ,FRA ,1979,M
301,Albuquerque  ,USA ,1983,M
301,Albuquerque  ,USA ,1983,M
303,Trail & Pandelygtesjov  ,DEN ,1982,M
304,Club Trail JMP Ingenieria  ,ESP ,1977,F
305,Atletica Valli Bergama...  ,ITA ,1983,M
306,Aalter  ,BEL ,1981,M
307,Portishead Run Club  ,GBR ,1979,M
308,"St Lawrence, Jersey  ",GBR ,1985,M
309,Pasto  ,COL ,1983,M
310,AC Carquefou  ,FRA ,1987,M
310,Team Sobhisport Nantes  ,FRA ,1971,M
312,Adelaide Harriers  ,AUS ,1962,M
313,Team Lmrperfomance  ,FRA ,1978,M
314,Smac  ,FRA ,1972,F
315,Bristol  ,GBR ,1983,M
316,Obama  ,JPN ,1985,M
317,C-Trail  ,FRA ,1975,M
318,None  ,GBR ,1979,M
319,Ultrasignup  ,USA ,1992,M
320,Team Michelin  ,FRA ,1975,M
321,Bury  ,GBR ,1985,M
322,Annecy  ,FRA ,1992,M
323,Leitrim  ,IRL ,1969,M
324,Lyon  ,FRA ,1985,M
325,Trailmagazin/ Salomon ...  ,GER ,1998,M
326,Cunlhat  ,FRA ,1973,M
327,Pena Guara  ,ESP ,1984,M
328,Asmagenta  ,FRA ,1986,M
329,Barcelona  ,ESP ,1989,M
330,C. D. Veredas Atauro  ,ESP ,1981,M
331,Kbrd  ,RUS ,1979,M
332,La Roque D'Antheron  ,FRA ,1986,M
333,Seneca  ,USA ,1986,M
334,Trailrunning Vienna  ,AUT ,1961,M
335,P2 Racing  ,GER ,1983,M
335,Aiiiiiiiadelante Team  ,ESP ,1975,M
337,Tours  ,FRA ,1990,M
338,Coolsaetgo  ,CAN ,1985,M
339,London  ,GBR ,1969,M
340,Henley-On-Thames  ,GBR ,1970,F
341,Edmonton  ,CAN ,1988,M
342,San Luis  ,ARG ,1981,M
343,Le Chable  ,GBR ,1969,M
344,Berlin  ,GBR ,1984,M
345,Outreau  ,FRA ,1977,M
346,UA Societe Generale  ,FRA ,1975,M
347,AD Movere  ,BRA ,1982,M
348,Metz  ,FRA ,1979,M
349,Åkersberga  ,SWE ,1978,M
350,Mcrrc  ,USA ,1977,M
351,Poole  ,GBR ,1979,M
352,Steamboat Springs  ,USA ,1974,M
353,Orges  ,FRA ,1990,M
354,RYL Today  ,CYP ,1980,M
355,Mountain Goat Trail Ru...  ,GBR ,1986,M
356,Crecy La Chapelle  ,FRA ,1977,M
357,100% Trail Angers - LM...  ,FRA ,1984,M
358,Yanez Runners  ,ESP ,1981,M
359,ADS Bognanco  ,ITA ,1981,M
360,Zurich  ,HKG ,1964,M
361,Osvenyfutas Sopron  ,HUN ,1984,M
362,Burgos  ,ESP ,1988,M
363,Team 100 Mile  ,JPN ,1968,M
364,Sofia  ,BUL ,1986,M
365,SAM Paris 12  ,FRA ,1983,M
366,NO  ,ECU ,1970,M
367,IFK Mora  ,SWE ,1975,F
368,Stourport On Severn  ,USA ,1977,M
369,Corsica Run Xtrem  ,FRA ,1985,M
370,Run Travel  ,FRA ,1993,M
371,SD Correcaminos  ,ESP ,1977,M
372,Saint Michel De Chaillol  ,FRA ,1977,M
373,Suresnes  ,FRA ,1969,M
374,Annemasse  ,FRA ,1986,M
375,Bara Friidrott  ,SWE ,1981,M
376,Roma  ,ITA ,1974,M
377,Crra / Running Conseil...  ,FRA ,1989,M
378,Cern Running Club  ,FRA ,1993,M
379,Annecy  ,FRA ,1974,M
380,A.S.D. Boomerang Runners  ,ITA ,1973,M
381,Leibnitz  ,AUT ,1985,F
382,San Jose  ,CRC ,1978,M
383,Staubli Sports  ,FRA ,1974,M
384,Baztandarrak  ,FRA ,1984,M
385,Hong Kong  ,FRA ,1977,M
386,North Vancouver  ,CAN ,1992,M
387,Monsanto Running Team  ,POR ,1984,M
388,Saint Vincent La Comm...  ,FRA ,1988,M
389,Marseille 08  ,FRA ,1992,M
390,Vancouver  ,CAN ,1981,M
391,Enskede  ,SWE ,1967,M
392,Tchimbe Raid  ,FRA ,1978,M
393,Urtxintxak  ,FRA ,1977,M
394,Domitrail  ,FRA ,1985,M
395,Dumenza  ,ITA ,1977,M
396,les Godasses Ambazacoises  ,FRA ,1975,M
397,Aydat  ,FRA ,1992,M
398,Girou Triathlon  ,FRA ,1977,M
399,USt Thouars  ,FRA ,1986,M
399,Paris  ,FRA ,1984,M
401,Bucuresti  ,ROU ,1976,M
402,Messimy  ,FRA ,1989,M
403,Chelsea  ,CAN ,1979,M
404,Cernavoda  ,ROU ,1989,F
405,Gondomar Futsal Clube  ,POR ,1971,F
406,Les Alliés  ,FRA ,1982,M
407,Paris  ,FRA ,1986,M
408,Baztandarrak  ,FRA ,1976,M
409,Intersport Groupe Hanot  ,FRA ,1973,M
410,Nice  ,FRA ,1985,M
411,Team Sindeq  ,POR ,1973,M
412,L'Union  ,FRA ,1959,M
413,Villeneuve-Loubet  ,FRA ,1988,M
414,Cmbm  ,FRA ,1984,F
415,Saint Gervais  ,FRA ,1991,M
416,Tarare  ,FRA ,1974,M
417,Thailand BY Utmb  ,THA ,1974,M
418,Sant'Ambrogio Di Valp...  ,ITA ,1979,M
419,Annecy  ,FRA ,1981,M
420,Les Contamines Montjoie  ,FRA ,1992,M
421,BTR - Bento Trail Runners  ,BRA ,1980,M
422,Marseille  ,FRA ,1985,M
423,Team Canorajo  ,FRA ,1977,M
424,Saint Laurent Du Pont  ,FRA ,1975,M
425,Miribel Les Échelles  ,FRA ,1978,M
426,Trailfux'N Running-Team  ,GER ,1976,M
427,Magny Sur Tille  ,FRA ,1980,M
428,Cotentrail  ,FRA ,1975,M
429,LOS 100 Mtros  ,ESP ,1974,M
430,ASL Maroni  ,FRA ,1979,M
431,Illescas  ,ESP ,1974,M
432,Beasain  ,ESP ,1970,M
433,Anaitasuna M. B.  ,ESP ,1981,M
434,Nancy  ,FRA ,1988,F
435,Strubensvalley  ,RSA ,1975,M
436,Gresy Sur Isere  ,FRA ,1982,M
437,Skipton  ,GBR ,1972,M
438,Mogu Dugo  ,CRO ,1965,M
439,Roquetas De Mar  ,ESP ,1980,M
440,Twin Falls  ,USA ,1987,M
441,GM Ensidesa Gijon  ,ESP ,1962,M
442,Buckingham  ,GBR ,1989,M
443,Kirkintilloch  ,GBR ,1976,M
444,Monte Cobre Trail  ,ESP ,1972,M
445,Patxanguerus D'Alforja  ,GBR ,1961,M
446,Ispossible Team  ,ESP ,1980,M
447,Hallbergmoos  ,GER ,1983,M
448,AAA du Lyonnais  ,FRA ,1975,M
449,Ratemytrail Team  ,POL ,1992,M
450,Truckee  ,USA ,1984,M
451,Bromma  ,SWE ,1976,M
452,Montreal  ,CAN ,1975,M
453,Liergues  ,FRA ,1987,M
454,Tria Equipe ELZ  ,GER ,1973,M
455,Run Green Réunion  ,FRA ,1993,M
456,Destination Unknown  ,ITA ,1985,M
457,Mountain Goat Trail Ru...  ,IRL ,1966,M
458,OS Bravos  ,POR ,1983,M
459,Singapore  ,SGP ,1973,M
460,Romerike Ultraloperklubb  ,NOR ,1974,M
461,Mongauzy  ,FRA ,1988,M
462,Green Power Sport Team  ,ESP ,1973,M
463,Laigne En Belin  ,FRA ,1975,M
464,Sfrc  ,USA ,1970,M
465,CAF Chambery  ,FRA ,1980,M
466,Chablais Mountain Runners  ,FRA ,1990,M
467,Soca-Run  ,ESP ,1981,M
468,Koli  ,FIN ,1985,M
469,Tampere Trail Running  ,FIN ,1983,M
470,Kaotix Running Crew  ,FRA ,1981,M
471,Assp Vergeze  ,FRA ,1971,M
472,Gatineau  ,CAN ,1980,M
473,Team Gravelines Trail  ,FRA ,1976,M
474,Wrocław  ,POL ,1982,M
475,Atletica Sappada  ,ITA ,1970,M
476,Toulon Sports Nature  ,FRA ,1975,M
477,Violay  ,FRA ,1984,M
478,Altrotrail Guadassuar  ,ESP ,1976,M
479,Simpsonville  ,USA ,1979,M
480,GTT Armazem do Caffe  ,POR ,1974,M
481,GTT-Armazem do Caffe  ,POR ,1978,M
482,Tourville Sur Odon  ,FRA ,1978,M
483,Robion  ,FRA ,1976,M
484,Rennes  ,ESP ,1981,M
485,Vallirana  ,ESP ,1977,M
486,Vivonne Loisirs  ,FRA ,1979,M
487,Pfettisheim  ,FRA ,1981,M
488,Brighton  ,GBR ,1991,M
489,Truckee  ,USA ,1971,M
490,Collonges Sous Salève  ,FRA ,1986,M
491,Boulder  ,USA ,1991,F
492,Erezee  ,BEL ,1991,M
493,Broomfield  ,USA ,1985,M
494,Courir Pays de Grasse  ,FRA ,1976,M
495,Madeira Trail Team  ,POR ,1975,M
496,"Avondale, Az  ",USA ,1991,M
497,Clayton Harriers  ,GBR ,1968,F
498,Zürich  ,USA ,1984,M
499,C. D. Guadatrail  ,ESP ,1964,M
500,Alhama Coym  ,ESP ,1970,M
501,New Orleans  ,USA ,1966,M
502,La Crau  ,FRA ,1983,M
503,Quebec  ,CAN ,1979,M
504,Berga  ,ESP ,1969,M
505,Team Trail'Titude  ,FRA ,1985,M
506,Cclagarto  ,POR ,1972,M
507,CD Sohail la Senda  ,ESP ,1969,M
508,Milpitas  ,USA ,1970,M
509,Easysport Galopins Bra...  ,FRA ,1979,M
510,les Gamelles Galeres  ,FRA ,1968,M
511,Team Trail Chalons  ,FRA ,1985,M
512,Galati  ,ROU ,1982,M
513,Traileurs Trinqueurs  ,FRA ,1981,M
514,Trieste  ,ITA ,1983,M
515,Sport Nature Montgailhard  ,FRA ,1980,M
516,Barañain  ,ESP ,1969,M
517,Geneve  ,SUI ,1986,M
518,Cugnaux  ,FRA ,1975,M
519,Tianlin Road 397 Hao  ,CHN ,1975,F
519,Budio.PL  ,POL ,1987,M
521,Uchinada  ,JPN ,1975,M
522,Trail Pirata Jerez  ,ESP ,1975,M
523,Cmbm  ,FRA ,1970,M
524,S/L AC la Chappelle/Erdre  ,FRA ,1990,M
524,Billère  ,FRA ,1981,M
526,Bort L'Étang  ,FRA ,1982,M
527,Run Travel  ,FRA ,1991,M
528,Tyne Bridge Harriers  ,NED ,1979,M
529,Gamte  ,ESP ,1978,M
530,Club Esportiu Garraf R...  ,ESP ,1971,M
531,Cafe Umineko Yamaneko  ,JPN ,1973,M
532,Trails and Ales  ,AUS ,1975,M
533,Pont-L'Abbe  ,FRA ,1967,M
534,Club Tennis Tarragona  ,ESP ,1992,M
535,Bend  ,IRL ,1977,F
536,VSK   ,LAT ,1987,M
537,Sant Joan Despi  ,ESP ,1976,M
538,Vallières Sur Fier  ,FRA ,1974,M
539,Melbourne  ,AUS ,1971,M
539,The Basin  ,AUS ,1988,M
541,Las Rozas De Madrid  ,ESP ,1980,M
542,Progens  ,SUI ,1960,M
543,Cessieu  ,FRA ,1974,M
544,Strasbourg  ,FRA ,1986,M
545,Salt Lake City  ,USA ,1990,M
546,Club Nautique Pontarli...  ,FRA ,1979,F
547,Redlands  ,USA ,1978,M
548,Plumeliau  ,FRA ,1980,M
549,AS Magenta  ,FRA ,1981,M
550,Canto DI Corsa  ,ITA ,1968,M
551,Aiiiiiiiadelante Team  ,ESP ,1958,M
552,Givry  ,FRA ,1981,M
553,Araikani  ,ARG ,1982,M
554,35465  ,FRA ,1969,M
555,Caluire  ,SUI ,1977,F
556,ASD Manoppello Sogeda  ,ITA ,1981,M
557,Berne  ,SUI ,1980,M
558,UA Societe Generale  ,FRA ,1976,M
559,Glossopdale Harriers  ,GBR ,1977,M
560,Eacpa  ,FRA ,1982,M
561,Trail Belfort Marathon  ,FRA ,1991,M
562,London  ,GBR ,1983,M
563,Charvonnex  ,FRA ,1988,M
564,Cotentrail  ,FRA ,1977,M
565,Normandy  ,FRA ,1973,M
566,Annoeullin  ,FRA ,1989,M
567,Leighton Buzzard Athle...  ,GBR ,1974,F
568,A.S.D. Cinghiali Randagi  ,ITA ,1991,M
569,Atletica Reggio  ,ITA ,1978,M
570,Gafarruns  ,ESP ,1970,M
571,Moabee  ,FRA ,1983,M
572,Team Hoka Italia  ,ITA ,1970,M
573,Takayale  ,FRA ,1982,M
574,New Territories  ,HKG ,1960,M
575,Lisses AC  ,FRA ,1985,M
576,Boulder  ,USA ,1990,F
577,La Possession  ,FRA ,1980,M
578,C.D. Fuente DEL Acebuc...  ,ESP ,1981,M
578,C.D. Fuente DEL Acebuche  ,ESP ,1981,M
580,Corredores Africanus  ,ESP ,1974,M
581,2GO - Tribus Adventure  ,BRA ,1974,M
582,Budapest  ,HUN ,1977,M
583,A Chacun Son Everest  ,USA ,1992,M
584,Team Trail Paris  ,FRA ,1981,M
585,Singapore  ,SGP ,1981,M
586,Club Atletisme Son Ser...  ,ESP ,1980,M
587,SA Milana - Alaro  ,ESP ,1979,M
588,Bigmouth Mafia  ,JPN ,1976,M
589,St Germain Des Essourts  ,FRA ,1979,M
590,St Inglevert  ,FRA ,1977,M
591,Trailrun4Fun  ,SWE ,1972,M
592,les Tontontrailers  ,FRA ,1965,M
593,Ultra Peak Fitness  ,GBR ,1988,M
594,Tropem Ultra  ,POL ,1982,M
595,Memphis  ,USA ,1981,M
596,LA P'Tite Foulee  ,FRA ,1981,M
597,Lonesome Runners  ,SWE ,1972,M
598,Chateauneuf De Gadagne  ,FRA ,1975,M
599,Mynyddwyr de Cymru  ,GBR ,1986,M
600,Buxton AC  ,GBR ,1973,M
601,Apremont  ,FRA ,1976,M
602,Bishop  ,USA ,1963,M
603,Oxelosund  ,SWE ,1969,M
604,Rueil Malmaison  ,FRA ,1978,M
605,Nantes  ,FRA ,1980,M
606,Trevoux  ,SUI ,1994,F
607,Dulles  ,USA ,1981,M
608,Lausanne  ,FRA ,1983,M
609,Arduua  ,SWE ,1972,M
610,Bosrobert  ,FRA ,1984,M
611,Hoka  ,THA ,1991,M
612,Ankyra SK  ,TUR ,1969,M
613,Marseille  ,FRA ,1993,M
614,Dijon  ,FRA ,1987,M
615,les Traileurs du Marensin  ,FRA ,1976,M
616,Chécy  ,FRA ,1974,M
617,Saran Loiret Athletic ...  ,FRA ,1982,M
618,Nolava  ,AUS ,1964,F
619,Calgary  ,CAN ,1967,F
620,Athletique Club Saint-...  ,FRA ,1994,M
621,Vaux En Beaujolais  ,FRA ,1992,M
622,Monterey  ,USA ,1974,M
623,Palo Alto  ,USA ,1972,M
624,Kuala Lumpur  ,FRA ,1977,M
625,KR/Mkrc  ,AUS ,1980,M
