country;occupation;gender;age;Platform
Spain;nurse;Male;19;N64
Spain;engineer;Genderqueer;33;XB
Spain;artist;Genderqueer;19;GBA
Spain;lawyer;Female;26;Wii
Spain;scientist;Male;30;NES
Spain;lawyer;Female;18;GB
Spain;doctor;Male;34;DS
Spain;lawyer;Female;31;N64
Spain;doctor;Female;28;XB
Spain;teacher;Bigender;34;GBA
Spain;engineer;Female;31;NES
Spain;teacher;Male;22;GB
Spain;writer;Female;33;DS
Spain;nurse;Male;24;PS2
Spain;plumber;Female;19;SNES
Spain;chef;Genderqueer;20;X360
Spain;scientist;Female;25;PS3
Spain;nurse;Female;21;N64
Spain;teacher;Male;39;XB
Spain;artist;Female;18;GBA
Spain;teacher;Female;40;Wii
Spain;nurse;Male;37;NES
Spain;teacher;Female;19;GB
Spain;lawyer;Male;30;DS
Spain;doctor;Female;40;N64
Spain;scientist;Female;26;XB
Spain;teacher;Male;24;GBA
Spain;plumber;Female;31;NES
Spain;scientist;Female;21;GB
Spain;writer;Male;32;DS
Spain;teacher;Female;29;PS2
Spain;writer;Female;18;SNES
Spain;engineer;Female;23;PS3
Spain;lawyer;Female;31;N64
Spain;writer;Male;38;XB
Spain;engineer;Male;33;GBA
Spain;engineer;Female;35;Wii
Spain;scientist;Female;27;NES
Spain;nurse;Male;30;Wii
Spain;engineer;Female;26;NES
Spain;plumber;Male;20;GB
Spain;doctor;Male;25;DS
Spain;engineer;Female;34;PS2
Spain;writer;Female;22;SNES
Spain;chef;Male;26;X360
Spain;doctor;Male;25;PS3
Spain;artist;Female;26;N64
Spain;nurse;Male;31;XB
Spain;nurse;Male;33;GBA
Spain;lawyer;Female;39;Wii
Spain;artist;Male;22;NES
Spain;teacher;Female;37;GB
Spain;plumber;Genderfluid;34;DS
Spain;lawyer;Male;19;N64
Spain;scientist;Male;35;XB
Spain;teacher;Male;18;GBA
Spain;writer;Bigender;27;NES
Spain;teacher;Female;26;GB
Spain;lawyer;Genderfluid;22;DS
Spain;plumber;Male;24;PS2
Spain;scientist;Female;40;SNES
Spain;artist;Agender;25;X360
Spain;chef;Female;33;PS3
Spain;teacher;Male;37;N64
Spain;teacher;Male;32;XB
Spain;doctor;Female;25;GBA
Spain;teacher;Female;29;Wii
Spain;chef;Female;18;NES
Spain;plumber;Female;28;GB
Spain;doctor;Female;39;DS
Spain;plumber;Female;22;N64
Spain;scientist;Male;24;XB
Spain;lawyer;Male;40;GBA
Spain;engineer;Male;35;NES
Spain;doctor;Female;39;GB
Spain;engineer;Male;25;DS
Spain;artist;Male;29;PS2
Spain;lawyer;Male;33;SNES
Spain;doctor;Male;24;PS3
Spain;writer;Female;36;N64
Spain;scientist;Female;32;XB
Spain;doctor;Male;22;GBA
Spain;chef;Male;40;Wii
Spain;artist;Male;38;NES
Spain;artist;Female;22;Wii
Spain;chef;Female;19;NES
Spain;lawyer;Agender;37;GB
Spain;artist;Male;40;DS
Spain;writer;Male;39;PS2
Spain;plumber;Female;31;SNES
Spain;scientist;Male;18;X360
Spain;plumber;Male;27;PS3
Spain;lawyer;Female;38;N64
Spain;writer;Female;32;XB
Spain;doctor;Female;22;GBA
Spain;writer;Female;39;Wii
Spain;scientist;Male;31;NES
Spain;lawyer;Male;31;GB
Spain;chef;Male;37;DS
Spain;writer;Male;23;N64
Spain;lawyer;Male;28;XB
Spain;engineer;Female;26;GBA
Spain;lawyer;Female;32;NES
Spain;writer;Genderqueer;40;GB
Spain;engineer;Male;27;DS
Spain;nurse;Male;31;PS2
Spain;teacher;Female;34;SNES
Spain;artist;Female;36;X360
Spain;writer;Female;24;PS3
Spain;scientist;Female;22;N64
Spain;nurse;Male;25;XB
Spain;writer;Male;31;GBA
Spain;doctor;Male;18;Wii
Spain;plumber;Female;20;NES
Spain;engineer;Male;31;GB
Spain;plumber;Female;34;DS
Spain;chef;Female;34;N64
Spain;doctor;Genderqueer;27;XB
Spain;doctor;Agender;28;GBA
Spain;doctor;Male;18;NES
Spain;engineer;Male;27;GB
Spain;artist;Female;23;DS
Spain;engineer;Female;26;PS2
Spain;scientist;Male;40;SNES
Spain;teacher;Male;35;PS3
Spain;writer;Male;30;N64
Spain;teacher;Male;30;XB
Spain;scientist;Female;30;GBA
Spain;artist;Male;38;Wii
Spain;chef;Genderqueer;33;NES
Spain;teacher;Male;25;GBA
Spain;scientist;Male;32;Wii
Spain;artist;Female;21;NES
Spain;doctor;Male;33;GB
Spain;teacher;Genderfluid;20;DS
Spain;writer;Male;35;N64
Spain;doctor;Female;31;XB
Spain;teacher;Female;26;GBA
Spain;doctor;Female;33;NES
Spain;scientist;Male;32;GB
Spain;scientist;Male;21;DS
Spain;doctor;Female;30;PS2
Spain;teacher;Male;20;SNES
Spain;scientist;Male;31;PS3
Spain;engineer;Female;30;N64
Spain;writer;Female;29;XB
Spain;artist;Female;36;GBA
Spain;engineer;Female;32;Wii
Spain;doctor;Male;38;NES
Spain;engineer;Female;34;Wii
Spain;engineer;Female;21;NES
Spain;plumber;Female;35;GB
Spain;nurse;Male;38;DS
Spain;doctor;Male;21;PS2
Spain;artist;Female;35;SNES
Spain;plumber;Female;33;X360
Spain;nurse;Female;28;PS3
Spain;writer;Male;24;N64
Spain;scientist;Female;27;XB
Spain;scientist;Male;23;GBA
Spain;nurse;Female;28;Wii
Spain;scientist;Male;36;NES
Spain;nurse;Female;27;GB
Spain;artist;Female;31;DS
Spain;plumber;Male;37;N64
Spain;engineer;Female;24;XB
Spain;nurse;Male;27;GBA
Spain;lawyer;Non-binary;19;NES
Spain;nurse;Female;22;GB
Spain;chef;Female;24;DS
Spain;engineer;Male;34;PS2
Spain;plumber;Male;19;SNES
Spain;nurse;Male;23;X360
Spain;artist;Female;35;PS3
Spain;writer;Female;20;N64
Spain;plumber;Male;34;XB
Spain;plumber;Male;37;GBA
Spain;teacher;Bigender;40;Wii
Spain;doctor;Female;21;NES
Spain;artist;Male;24;GB
Spain;engineer;Male;37;DS
Spain;lawyer;Genderfluid;24;N64
Spain;scientist;Male;24;XB
Spain;writer;Female;22;GBA
Spain;teacher;Female;31;NES
Spain;lawyer;Genderqueer;30;GB
Spain;teacher;Female;37;DS
Spain;lawyer;Female;27;PS2
Spain;nurse;Male;30;SNES
Spain;plumber;Male;23;PS3
Spain;lawyer;Female;32;N64
Spain;doctor;Female;25;XB
Spain;writer;Female;25;GBA
Spain;writer;Male;38;Wii
Spain;chef;Female;30;NES
Spain;engineer;Male;20;GBA
Spain;chef;Male;30;Wii
Spain;writer;Male;26;NES
Spain;chef;Male;38;GB
Spain;doctor;Male;20;DS
Spain;teacher;Female;24;N64
Spain;nurse;Male;37;XB
Spain;chef;Female;28;GBA
Spain;writer;Female;20;NES
Spain;doctor;Female;28;GB
Spain;teacher;Male;23;DS
Spain;chef;Female;21;PS2
Spain;doctor;Male;26;SNES
Spain;teacher;Genderfluid;32;PS3
Spain;doctor;Female;35;N64
Spain;engineer;Female;20;XB
Spain;nurse;Male;40;GBA
Spain;plumber;Male;35;Wii
Spain;writer;Genderfluid;24;NES
Spain;lawyer;Male;38;Wii
Spain;lawyer;Female;20;NES
Spain;nurse;Male;34;GB
Spain;writer;Female;19;DS
Spain;engineer;Male;33;PS2
Spain;artist;Female;33;SNES
Spain;nurse;Female;26;X360
Spain;writer;Female;21;PS3
Spain;engineer;Female;27;N64
Spain;teacher;Female;37;XB
Spain;scientist;Polygender;29;GBA
Spain;chef;Male;23;Wii
Spain;doctor;Male;28;NES
Spain;lawyer;Polygender;31;GB
Spain;writer;Polygender;20;DS
Spain;chef;Male;25;N64
Spain;plumber;Male;25;XB
Spain;writer;Female;23;GBA
Spain;nurse;Female;39;NES
Spain;engineer;Female;38;GB
Spain;artist;Male;30;DS
Spain;writer;Male;36;PS2
Spain;lawyer;Male;27;SNES
Spain;teacher;Male;34;X360
Spain;lawyer;Non-binary;21;PS3
Spain;chef;Male;32;N64
Spain;teacher;Female;24;XB
Spain;lawyer;Male;25;GBA
Spain;nurse;Genderqueer;35;Wii
Spain;artist;Female;39;NES
Spain;doctor;Female;29;GB
Spain;artist;Male;21;DS
Spain;chef;Female;35;N64
Spain;engineer;Female;39;XB
Spain;doctor;Male;30;GBA
Spain;chef;Male;34;NES
Spain;lawyer;Female;38;GB
Spain;chef;Female;23;DS
Spain;engineer;Male;34;PS2
Spain;lawyer;Female;31;SNES
Spain;scientist;Male;32;PS3
Spain;teacher;Bigender;33;N64
Spain;chef;Male;38;XB
Spain;nurse;Female;19;GBA
Spain;lawyer;Male;32;Wii
Spain;engineer;Male;19;NES
Spain;plumber;Male;31;GBA
Spain;writer;Male;35;Wii
Spain;plumber;Male;28;NES
Spain;writer;Male;19;GB
Spain;plumber;Male;29;DS
Spain;chef;Female;23;N64
Spain;writer;Female;31;XB
Spain;plumber;Genderqueer;40;GBA
Spain;doctor;Female;32;NES
Spain;doctor;Female;20;GB
Spain;scientist;Female;33;DS
Spain;engineer;Male;26;PS2
Spain;plumber;Female;40;SNES
Spain;teacher;Female;21;PS3
Spain;writer;Genderqueer;26;N64
Spain;scientist;Female;26;XB
Spain;engineer;Male;24;GBA
Spain;writer;Male;31;Wii
Spain;lawyer;Male;18;NES
Spain;doctor;Female;21;Wii
Spain;nurse;Female;37;NES
Spain;doctor;Female;18;GB
Spain;plumber;Female;38;DS
Spain;teacher;Female;34;PS2
Spain;scientist;Female;21;SNES
Spain;lawyer;Female;39;X360
Spain;teacher;Bigender;25;PS3
Spain;doctor;Male;25;N64
Spain;engineer;Male;29;XB
Spain;scientist;Female;27;GBA
Spain;plumber;Male;22;Wii
Spain;writer;Polygender;35;NES
Spain;plumber;Female;38;GB
Spain;scientist;Polygender;31;DS
Spain;lawyer;Female;24;N64
Spain;doctor;Female;26;XB
Spain;plumber;Male;25;GBA
Spain;scientist;Female;24;NES
Spain;nurse;Non-binary;18;GB
Spain;lawyer;Non-binary;32;DS
Spain;doctor;Female;38;PS2
Spain;nurse;Female;37;SNES
Spain;chef;Female;38;X360
Spain;plumber;Female;32;PS3
Spain;chef;Female;28;N64
Spain;scientist;Polygender;21;XB
Spain;artist;Male;27;GBA
Spain;plumber;Female;22;Wii
Spain;chef;Male;38;NES
Spain;scientist;Male;20;GB
Spain;scientist;Male;22;DS
Spain;artist;Female;32;N64
Spain;nurse;Non-binary;36;XB
Spain;writer;Female;40;GBA
Spain;scientist;Female;28;NES
Spain;scientist;Female;28;GB
Spain;scientist;Female;25;DS
Spain;doctor;Genderqueer;19;PS2
Spain;engineer;Male;27;SNES
Spain;teacher;Male;31;PS3
Spain;teacher;Female;25;N64
Spain;plumber;Male;37;XB
Spain;nurse;Male;37;GBA
Spain;artist;Female;27;Wii
Spain;plumber;Male;29;NES
Spain;lawyer;Non-binary;26;GBA
Spain;scientist;Male;38;Wii
Spain;artist;Male;24;NES
Spain;doctor;Bigender;23;GB
Spain;chef;Female;31;DS
Spain;teacher;Female;30;N65
Spain;artist;Female;28;XB
Spain;writer;Female;34;GBA
Spain;nurse;Male;20;NES
Spain;lawyer;Male;33;GB
Spain;plumber;Male;26;DS
Spain;artist;Female;26;PS3
Spain;engineer;Female;29;SNES
Spain;doctor;Male;36;PS4
Spain;chef;Male;25;N65
Spain;lawyer;Female;40;XB
Spain;lawyer;Female;27;GBA
Spain;plumber;Male;18;Wii
Spain;teacher;Female;37;NES
Spain;writer;Male;27;Wii
Spain;chef;Female;37;NES
Spain;artist;Female;19;GB
Spain;nurse;Female;25;DS
Spain;teacher;Male;38;PS3
Spain;writer;Male;29;SNES
Spain;scientist;Male;25;X361
Spain;plumber;Female;27;PS4
Spain;engineer;Male;19;N65
Spain;doctor;Female;24;XB
